onset	duration	movement_onset	coded_response	experiment_exp_id	item_coding	item_text	possible_responses	response_time	survey	trial_type	worker_id	junk
1.005	8.5	4.951	1.0	survey_medley	forward	I refuse things that are bad for me.	66,89,71,82,77	3.946	brief	Q14	s172	False
10.144	8.5	11.967	0.5	survey_medley	reverse	I have a hard time breaking bad habits.	66,89,71,82,77	1.823	brief	Q10	s172	False
19.758	8.5	21.682	0.75	survey_medley	reverse	I have trouble concentrating.	66,89,71,82,77	1.924	brief	Q18	s172	False
29.372	8.5	31.135	1.0	survey_medley	reverse	I say inappropriate things.	66,89,71,82,77	1.763	brief	Q12	s172	False
39.667	8.5	43.028	0.75	survey_medley	forward	I could do anything I want in the future.	66,89,71,82,77	3.361	future_time	Q27	s172	False
49.757	8.5	55.249	0.6666666666666666	survey_medley	reverse	Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.	66,89,71,82	5.492	upps	Q32	s172	False
58.827	8.5	63.234	1.0	survey_medley	reverse	I have difficulty maintaining my focus on projects that take more than a few months to complete.	66,89,71,82,77	4.407	grit	Q06	s172	False
68.985	8.5	70.349	0.75	survey_medley	forward	I am a hard worker.	66,89,71,82,77	1.364	grit	Q04	s172	False
78.871	8.5	81.396	0.75	survey_medley	reverse	New ideas and projects sometimes distract me from previous ones.	66,89,71,82,77	2.525	grit	Q01	s172	False
88.554	8.5	91.223	0.75	survey_medley	reverse	I often act without thinking through all the alternatives.	66,89,71,82,77	2.669	brief	Q21	s172	False
98.1	8.5	101.253	0.75	survey_medley	reverse	I often set a goal but later choose to pursue a different one.	66,89,71,82,77	3.153	grit	Q05	s172	False
109.414	8.5	112.636	0.75	survey_medley	forward	Many opportunities await me in the future.	66,89,71,82,77	3.222	future_time	Q22	s172	False
119.028	8.5	121.942	0.5	survey_medley	forward	My future seems infinite to me.	66,89,71,82,77	2.914	future_time	Q26	s172	False
128.235	8.5	132.392	0.75	survey_medley	forward	There is plenty of time left in my life to make new plans.	66,89,71,82,77	4.157	future_time	Q28	s172	False
137.781	8.5	140.149	0.75	survey_medley	reverse	I am lazy.	66,89,71,82,77	2.368	brief	Q11	s172	False
147.258	8.5	151.083	0.75	survey_medley	forward	Setbacks don't discourage me.	66,89,71,82,77	3.825	grit	Q02	s172	False
156.465	8.5	159.654	0.6666666666666666	survey_medley	reverse	When I am really excited, I tend not to think of the consequences of my actions.	66,89,71,82	3.189	upps	Q36	s172	False
166.556	8.5	170.862	0.0	survey_medley	reverse	Do you sometimes like doing things that are a bit frightening?	66,89	4.306	impulsive_venture	Q39	s172	False
177.462	8.5	179.956	0.5	survey_medley	forward	I am good at resisting temptation.	66,89,71,82,77	2.494	brief	Q09	s172	False
187.349	8.5	190.056	1.0	survey_medley	reverse	I do certain things that are bad for me, if they are fun.	66,89,71,82,77	2.707	brief	Q13	s172	False
196.488	8.5	199.445	0.75	survey_medley	forward	I am able to work effectively toward long-term goals.	66,89,71,82,77	2.957	brief	Q19	s172	False
206.85	8.5	210.428	0.5	survey_medley	reverse	Pleasure and fun sometimes keep me from getting work done.	66,89,71,82,77	3.578	brief	Q17	s172	False
216.532	8.5	221.064	1.0	survey_medley	reverse	Others would say I make bad choices when I am extremely happy about something.	66,89,71,82	4.532	upps	Q33	s172	False
226.69	8.5	229.534	1.0	survey_medley	reverse	There are only limited possibilities in my future.	66,89,71,82,77	2.844	future_time	Q30	s172	False
235.897	8.5	238.914	0.75	survey_medley	forward	I finish whatever I begin.	66,89,71,82,77	3.017	grit	Q07	s172	False
247.075	8.5	249.646	0.5	survey_medley	forward	Most of my life lies ahead of me.	66,89,71,82,77	2.571	future_time	Q25	s172	False
256.349	8.5	259.937	0.5	survey_medley	forward	People would say that I have iron self-discipline.	66,89,71,82,77	3.588	brief	Q16	s172	False
265.963	8.5	269.823	1.0	survey_medley	reverse	Sometimes I can't stop myself from doing something, even if I know it is wrong.	66,89,71,82,77	3.86	brief	Q20	s172	False
275.034	8.5	280.183	1.0	survey_medley	reverse	Do you welcome new and exciting experiences and sensations even if they are a little frightening and unconventional?	66,89	5.149	impulsive_venture	Q38	s172	False
284.037	8.5	288.033	0.75	survey_medley	forward	I expect that I will set many new goals in the future.	66,89,71,82,77	3.996	future_time	Q23	s172	False
298.343	8.5	301.639	0.5	survey_medley	reverse	I wish I had more self-discipline.	66,89,71,82,77	3.296	brief	Q15	s172	False
307.412	8.5	311.577	1.0	survey_medley	reverse	When I get really happy about something, I tend to do things that can have bad consequences.	66,89,71,82	4.165	upps	Q34	s172	False
317.707	8.5	321.361	0.6666666666666666	survey_medley	reverse	I tend to act without thinking when I am really excited.	66,89,71,82	3.654	upps	Q37	s172	False
