duration	onset	block_duration	movement_onset	planning	condition	exp_stage	experiment_exp_id	key_press	problem_id	response_time	trial_id	trial_type	worker_id	junk
7.923	3.008	7.923	10.931	1	UA_with_intermediate	practice	ward_and_allport	71	0.0	7.923	to_hand	poldrack-single-stim	s518	False
0.1	10.932	0.84	11.772	0	UA_with_intermediate	practice	ward_and_allport	82	0.0	0.84	to_board	poldrack-single-stim	s518	False
0.1	11.774	1.524	13.298	0	UA_with_intermediate	practice	ward_and_allport	71	0.0	1.524	to_hand	poldrack-single-stim	s518	False
0.1	13.298	1.775	15.073	0	UA_with_intermediate	practice	ward_and_allport	89	0.0	1.775	to_board	poldrack-single-stim	s518	False
0.1	15.074	1.249	16.323	0	UA_with_intermediate	practice	ward_and_allport	82	0.0	1.249	to_hand	poldrack-single-stim	s518	False
0.1	16.324	0.979	17.303	0	UA_with_intermediate	practice	ward_and_allport	89	0.0	0.979	to_board	poldrack-single-stim	s518	False
1.0	17.307	2.5	17.306	0	UA_with_intermediate	practice	ward_and_allport	-1	0.0	n/a	feedback	poldrack-single-stim	s518	False
5.66	19.808	5.66	25.468	1	UA_with_intermediate	practice	ward_and_allport	89	1.0	5.66	to_hand	poldrack-single-stim	s518	False
0.1	25.47	1.336	26.806	0	UA_with_intermediate	practice	ward_and_allport	82	1.0	1.336	to_board	poldrack-single-stim	s518	False
0.1	26.809	0.928	27.737	0	UA_with_intermediate	practice	ward_and_allport	71	1.0	0.928	to_hand	poldrack-single-stim	s518	False
0.1	27.738	0.773	28.511	0	UA_with_intermediate	practice	ward_and_allport	89	1.0	0.773	to_board	poldrack-single-stim	s518	False
0.1	28.512	1.205	29.717	0	UA_with_intermediate	practice	ward_and_allport	82	1.0	1.205	to_hand	poldrack-single-stim	s518	False
0.1	29.717	0.555	30.272	0	UA_with_intermediate	practice	ward_and_allport	89	1.0	0.555	to_board	poldrack-single-stim	s518	False
1.0	30.275	2.1	30.274	0	UA_with_intermediate	practice	ward_and_allport	-1	1.0	n/a	feedback	poldrack-single-stim	s518	False
2.789	32.377	2.789	35.166	1	UA_without_intermediate	practice	ward_and_allport	82	2.0	2.789	to_hand	poldrack-single-stim	s518	False
0.1	35.166	0.653	35.819	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.653	to_board	poldrack-single-stim	s518	False
0.1	35.821	1.449	37.27	0	UA_without_intermediate	practice	ward_and_allport	71	2.0	1.449	to_hand	poldrack-single-stim	s518	False
0.1	37.271	0.709	37.98	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.709	to_board	poldrack-single-stim	s518	False
0.1	37.984	0.93	38.914	0	UA_without_intermediate	practice	ward_and_allport	71	2.0	0.93	to_hand	poldrack-single-stim	s518	False
0.1	38.915	0.451	39.366	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.451	to_board	poldrack-single-stim	s518	False
1.0	39.368	2.2	39.367	0	UA_without_intermediate	practice	ward_and_allport	-1	2.0	n/a	feedback	poldrack-single-stim	s518	False
2.877	41.57	2.877	44.447	1	UA_without_intermediate	practice	ward_and_allport	71	3.0	2.877	to_hand	poldrack-single-stim	s518	False
0.1	44.448	1.307	45.755	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	1.307	to_board	poldrack-single-stim	s518	False
0.1	45.758	1.276	47.034	0	UA_without_intermediate	practice	ward_and_allport	82	3.0	1.276	to_hand	poldrack-single-stim	s518	False
0.1	47.035	0.581	47.616	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.581	to_board	poldrack-single-stim	s518	False
0.1	47.618	0.577	48.195	0	UA_without_intermediate	practice	ward_and_allport	71	3.0	0.577	to_hand	poldrack-single-stim	s518	False
0.1	48.196	0.392	48.588	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.392	to_board	poldrack-single-stim	s518	False
1.0	48.591	2.0	48.59	0	UA_without_intermediate	practice	ward_and_allport	-1	3.0	n/a	feedback	poldrack-single-stim	s518	False
7.666	52.597	7.666	60.263	1	PA_with_intermediate	test	ward_and_allport	82	0.0	7.666	to_hand	poldrack-single-stim	s518	False
0.1	60.265	1.046	61.311	0	PA_with_intermediate	test	ward_and_allport	89	0.0	1.046	to_board	poldrack-single-stim	s518	False
0.1	61.313	2.695	64.008	0	PA_with_intermediate	test	ward_and_allport	82	0.0	2.695	to_hand	poldrack-single-stim	s518	False
0.1	64.008	0.63	64.638	0	PA_with_intermediate	test	ward_and_allport	71	0.0	0.63	to_board	poldrack-single-stim	s518	False
0.1	64.641	2.669	67.31	0	PA_with_intermediate	test	ward_and_allport	89	0.0	2.669	to_hand	poldrack-single-stim	s518	False
0.1	67.31	0.508	67.818	0	PA_with_intermediate	test	ward_and_allport	71	0.0	0.508	to_board	poldrack-single-stim	s518	False
1.0	67.822	4.176	67.821	0	PA_with_intermediate	test	ward_and_allport	-1	0.0	n/a	feedback	poldrack-single-stim	s518	False
4.441	72.0	4.441	76.441	1	PA_with_intermediate	test	ward_and_allport	89	1.0	4.441	to_hand	poldrack-single-stim	s518	False
0.1	76.442	1.653	78.095	0	PA_with_intermediate	test	ward_and_allport	71	1.0	1.653	to_board	poldrack-single-stim	s518	False
0.1	78.096	1.016	79.112	0	PA_with_intermediate	test	ward_and_allport	89	1.0	1.016	to_hand	poldrack-single-stim	s518	False
0.1	79.114	0.637	79.751	0	PA_with_intermediate	test	ward_and_allport	82	1.0	0.637	to_board	poldrack-single-stim	s518	False
0.1	79.754	0.84	80.594	0	PA_with_intermediate	test	ward_and_allport	71	1.0	0.84	to_hand	poldrack-single-stim	s518	False
0.1	80.595	1.197	81.792	0	PA_with_intermediate	test	ward_and_allport	82	1.0	1.197	to_board	poldrack-single-stim	s518	False
1.0	81.796	3.36	81.795	0	PA_with_intermediate	test	ward_and_allport	-1	1.0	n/a	feedback	poldrack-single-stim	s518	False
3.903	85.158	3.903	89.061	1	PA_with_intermediate	test	ward_and_allport	89	2.0	3.903	to_hand	poldrack-single-stim	s518	False
0.1	89.062	0.549	89.611	0	PA_with_intermediate	test	ward_and_allport	71	2.0	0.549	to_board	poldrack-single-stim	s518	False
0.1	89.613	0.977	90.59	0	PA_with_intermediate	test	ward_and_allport	89	2.0	0.977	to_hand	poldrack-single-stim	s518	False
0.1	90.592	0.671	91.263	0	PA_with_intermediate	test	ward_and_allport	82	2.0	0.671	to_board	poldrack-single-stim	s518	False
0.1	91.266	1.025	92.291	0	PA_with_intermediate	test	ward_and_allport	71	2.0	1.025	to_hand	poldrack-single-stim	s518	False
0.1	92.292	0.572	92.864	0	PA_with_intermediate	test	ward_and_allport	89	2.0	0.572	to_board	poldrack-single-stim	s518	False
1.0	92.867	2.0	92.866	0	PA_with_intermediate	test	ward_and_allport	-1	2.0	n/a	feedback	poldrack-single-stim	s518	False
3.976	94.87	3.976	98.846	1	PA_without_intermediate	test	ward_and_allport	82	3.0	3.976	to_hand	poldrack-single-stim	s518	False
0.1	98.847	1.759	100.606	0	PA_without_intermediate	test	ward_and_allport	71	3.0	1.759	to_board	poldrack-single-stim	s518	False
0.1	100.609	1.808	102.417	0	PA_without_intermediate	test	ward_and_allport	82	3.0	1.808	to_hand	poldrack-single-stim	s518	False
0.1	102.418	0.838	103.256	0	PA_without_intermediate	test	ward_and_allport	89	3.0	0.838	to_board	poldrack-single-stim	s518	False
0.1	103.259	1.417	104.676	0	PA_without_intermediate	test	ward_and_allport	82	3.0	1.417	to_hand	poldrack-single-stim	s518	False
0.1	104.677	0.583	105.26	0	PA_without_intermediate	test	ward_and_allport	71	3.0	0.583	to_board	poldrack-single-stim	s518	False
1.0	105.264	2.408	105.263	0	PA_without_intermediate	test	ward_and_allport	-1	3.0	n/a	feedback	poldrack-single-stim	s518	False
