onset	duration	movement_onset	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	trial_id	trial_type	worker_id	junk
3.008	0.5	3.007	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s524	False
5.512	0.5	5.511	1.772	AX	0.0	89.0	dot_pattern_expectancy	-1.0	n/a	probe	AX	s524	False
7.287	0.5	7.286	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s524	False
9.791	0.5	10.408	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.617	probe	AX	s524	False
11.294	0.5	11.293	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s524	False
13.797	0.5	14.339	2.452	AY	0.0	71.0	dot_pattern_expectancy	89.0	0.542	probe	AY	s524	False
16.251	0.5	16.25	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s524	False
18.755	0.5	19.309	1.772	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.554	probe	AY	s524	False
20.53	0.5	20.529	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s524	False
23.035	0.5	23.429	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.394	probe	AX	s524	False
24.944	0.5	24.943	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s524	False
27.449	0.5	27.939	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.49	probe	AX	s524	False
29.36	0.5	29.359	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s524	False
31.864	0.5	33.073	2.588	AX	1.0	89.0	dot_pattern_expectancy	89.0	1.209	probe	AX	s524	False
34.454	0.5	34.453	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s524	False
36.96	0.5	37.542	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.582	probe	AY	s524	False
38.463	0.5	38.462	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s524	False
40.967	0.5	42.224	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	1.257	probe	BY	s524	False
