onset	duration	movement_onset	EV	action	block_duration	experiment_exp_id	gain_amount	gain_probability	key_press	loss_amount	loss_probability	num_cards	num_click_in_round	num_loss_cards	risk	response_time	total_cards	trial_id	trial_type	worker_id	junk	feedback
3.01	6.226	9.236	-2.088455093033581	draw_card	6.226	columbia_card_task_fmri	12.0	0.8333333333333334	89.0	-70.0	0.1666666666666666	6.0	1.0	1.0	-0.6383515133711484	6.226	n/a	stim	poldrack-single-stim	s557	False	1
9.239	1.334	10.573	-4.821788426366914	end_round	1.334	columbia_card_task_fmri	12.0	0.8	71.0	-70.0	0.2	6.0	2.0	1.0	1.601853998713899	1.334	1.0	stim	poldrack-single-stim	s557	False	1
11.329	1.5	10.578	n/a	-1.0	2.454	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s557	False	0
13.036	4.986	18.022	-1.2551217597002475	draw_card	4.986	columbia_card_task_fmri	14.0	0.8333333333333334	89.0	-75.0	0.1666666666666666	6.0	1.0	1.0	1.970165551594583	4.986	1.0	stim	poldrack-single-stim	s557	False	0
18.777	1.5	18.026	n/a	-1.0	2.454	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s557	False	0
20.482	3.904	24.386	0.4115449069664186	end_round	3.904	columbia_card_task_fmri	15.0	0.8333333333333334	71.0	-70.0	0.1666666666666666	6.0	1.0	1.0	0.4795797555784737	3.904	0.0	stim	poldrack-single-stim	s557	False	1
25.141	1.5	24.39	n/a	-1.0	2.522	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s557	False	0
26.915	3.193	30.108	1.2448782402997525	end_round	3.193	columbia_card_task_fmri	17.0	0.8333333333333334	71.0	-75.0	0.1666666666666666	6.0	1.0	1.0	3.088112098759616	3.193	0.0	stim	poldrack-single-stim	s557	False	1
30.862	1.5	30.111	n/a	-1.0	2.386	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s557	False	0
32.499	7.018	39.517	2.5782115736330846	draw_card	7.018	columbia_card_task_fmri	24.0	0.75	89.0	-60.0	0.25	8.0	1.0	2.0	5.174654579895979	7.018	n/a	stim	poldrack-single-stim	s557	False	1
39.518	1.341	40.859	-0.4217884263669152	end_round	1.341	columbia_card_task_fmri	24.0	0.7142857142857143	71.0	-60.0	0.2857142857142857	8.0	2.0	2.0	6.748818097191915	1.341	1.0	stim	poldrack-single-stim	s557	False	1
41.614	1.5	40.863	n/a	-1.0	2.454	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s557	False	0
43.319	6.284	49.603	2.5782115736330846	draw_card	6.284	columbia_card_task_fmri	29.0	0.75	89.0	-75.0	0.25	8.0	1.0	2.0	13.834438355464762	6.284	n/a	stim	poldrack-single-stim	s557	False	1
49.604	0.79	50.394	-1.1360741406526271	end_round	0.79	columbia_card_task_fmri	29.0	0.7142857142857143	71.0	-75.0	0.2857142857142857	8.0	2.0	2.0	15.783446370017366	0.79	1.0	stim	poldrack-single-stim	s557	False	1
51.148	1.5	50.397	n/a	-1.0	2.522	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s557	False	0
52.921	6.685	59.606	-1.644010648589135	draw_card	6.685	columbia_card_task_fmri	17.0	0.7777777777777778	89.0	-65.0	0.2222222222222222	9.0	1.0	2.0	2.8924075275288885	6.685	n/a	stim	poldrack-single-stim	s557	False	1
59.608	0.804	60.412	-3.9217884263669154	end_round	0.804	columbia_card_task_fmri	17.0	0.75	71.0	-65.0	0.25	9.0	2.0	2.0	4.308688817901484	0.804	1.0	stim	poldrack-single-stim	s557	False	1
61.164	1.5	60.413	n/a	-1.0	2.522	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s557	False	0
62.938	2.232	65.17	2.6782115736330843	end_round	2.232	columbia_card_task_fmri	14.0	0.9	71.0	-95.0	0.1	10.0	1.0	1.0	1.5018622911799469	2.232	0.0	stim	poldrack-single-stim	s557	False	1
65.923	1.5	65.172	n/a	-1.0	2.59	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s557	False	0
67.765	5.513	73.278	-1.4217884263669154	draw_card	5.513	columbia_card_task_fmri	15.0	0.8	89.0	-65.0	0.2	10.0	1.0	2.0	0.801921789437678	5.513	1.0	stim	poldrack-single-stim	s557	False	0
74.032	1.5	73.281	n/a	-1.0	2.454	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s557	False	0
75.737	3.077	78.814	0.1782115736330861	end_round	3.077	columbia_card_task_fmri	17.0	0.8	71.0	-65.0	0.2	10.0	1.0	2.0	1.601853998713899	3.077	0.0	stim	poldrack-single-stim	s557	False	1
79.571	1.5	78.82	n/a	-1.0	2.318	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s557	False	0
81.14	1.862	83.002	-1.2551217597002475	end_round	1.862	columbia_card_task_fmri	13.0	0.8333333333333334	71.0	-70.0	0.1666666666666666	12.0	1.0	2.0	-0.2657085819986378	1.862	0.0	stim	poldrack-single-stim	s557	False	1
83.757	1.5	83.006	n/a	-1.0	2.25	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s557	False	0
85.258	2.474	87.732	-1.2551217597002475	end_round	2.474	columbia_card_task_fmri	15.0	0.8333333333333334	71.0	-80.0	0.1666666666666666	12.0	1.0	2.0	4.20606416794368	2.474	0.0	stim	poldrack-single-stim	s557	False	1
