onset	duration	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	stim_color	stim_word	trial_id	trial_type	worker_id	junk
3.516	1.5	2.0	incongruent	1.0	89.0	stroop	89	0.497	red	blue	stim	incongruent	s572	False
5.521	1.5	2.0	congruent	1.0	89.0	stroop	89	0.474	red	red	stim	congruent	s572	False
7.522	1.5	2.272	incongruent	1.0	89.0	stroop	89	0.692	red	green	stim	incongruent	s572	False
9.799	1.5	2.0	incongruent	1.0	89.0	stroop	89	0.466	red	green	stim	incongruent	s572	False
11.802	1.5	2.136	congruent	1.0	89.0	stroop	89	0.377	red	red	stim	congruent	s572	False
13.943	1.5	2.0	congruent	1.0	71.0	stroop	71	0.436	blue	blue	stim	congruent	s572	False
15.946	1.5	2.136	congruent	1.0	82.0	stroop	82	0.394	green	green	stim	congruent	s572	False
18.084	1.5	2.0	congruent	1.0	82.0	stroop	82	0.471	green	green	stim	congruent	s572	False
20.087	1.5	2.0	congruent	1.0	71.0	stroop	71	0.521	blue	blue	stim	congruent	s572	False
22.092	1.5	2.0	incongruent	1.0	89.0	stroop	89	0.496	red	blue	stim	incongruent	s572	False
24.096	1.5	2.272	incongruent	1.0	71.0	stroop	71	0.804	blue	red	stim	incongruent	s572	False
26.37	1.5	2.0	incongruent	1.0	89.0	stroop	89	0.478	red	blue	stim	incongruent	s572	False
28.373	1.5	2.136	incongruent	0.0	82.0	stroop	71	0.432	green	red	stim	incongruent	s572	False
30.511	1.5	2.408	congruent	1.0	82.0	stroop	82	0.619	green	green	stim	congruent	s572	False
32.921	1.5	2.272	incongruent	1.0	71.0	stroop	71	0.43	blue	green	stim	incongruent	s572	False
35.194	1.5	2.68	congruent	1.0	89.0	stroop	89	0.44	red	red	stim	congruent	s572	False
37.878	1.5	2.0	congruent	1.0	89.0	stroop	89	0.548	red	red	stim	congruent	s572	False
39.885	1.5	2.408	congruent	1.0	71.0	stroop	71	0.533	blue	blue	stim	congruent	s572	False
42.299	1.5	2.136	congruent	1.0	89.0	stroop	89	0.453	red	red	stim	congruent	s572	False
44.437	1.5	2.68	incongruent	1.0	82.0	stroop	82	0.473	green	red	stim	incongruent	s572	False
47.123	1.5	2.0	incongruent	1.0	82.0	stroop	82	0.54	green	blue	stim	incongruent	s572	False
49.126	1.5	2.136	incongruent	1.0	89.0	stroop	89	0.548	red	blue	stim	incongruent	s572	False
51.264	1.5	2.952	congruent	1.0	89.0	stroop	89	0.697	red	red	stim	congruent	s572	False
54.219	1.5	2.0	incongruent	1.0	89.0	stroop	89	0.501	red	blue	stim	incongruent	s572	False
56.222	1.5	2.272	incongruent	1.0	89.0	stroop	89	0.501	red	green	stim	incongruent	s572	False
58.499	1.5	2.0	incongruent	1.0	71.0	stroop	71	0.555	blue	red	stim	incongruent	s572	False
60.502	1.5	2.0	congruent	1.0	82.0	stroop	82	0.373	green	green	stim	congruent	s572	False
62.505	1.5	2.0	congruent	1.0	82.0	stroop	82	0.476	green	green	stim	congruent	s572	False
64.51	1.5	2.0	incongruent	1.0	71.0	stroop	71	0.564	blue	red	stim	incongruent	s572	False
66.513	1.5	2.136	congruent	1.0	71.0	stroop	71	0.429	blue	blue	stim	congruent	s572	False
68.653	1.5	2.0	congruent	1.0	82.0	stroop	82	0.513	green	green	stim	congruent	s572	False
70.654	1.5	2.0	incongruent	1.0	89.0	stroop	89	0.481	red	green	stim	incongruent	s572	False
72.657	1.5	2.136	congruent	1.0	89.0	stroop	89	0.402	red	red	stim	congruent	s572	False
74.795	1.5	2.0	incongruent	1.0	71.0	stroop	71	0.428	blue	green	stim	incongruent	s572	False
76.797	1.5	2.0	incongruent	1.0	71.0	stroop	71	0.428	blue	green	stim	incongruent	s572	False
78.801	1.5	2.136	incongruent	1.0	89.0	stroop	89	0.537	red	green	stim	incongruent	s572	False
80.94	1.5	2.136	congruent	1.0	71.0	stroop	71	0.496	blue	blue	stim	congruent	s572	False
83.08	1.5	2.272	congruent	1.0	89.0	stroop	89	0.512	red	red	stim	congruent	s572	False
85.356	1.5	2.68	incongruent	1.0	89.0	stroop	89	0.508	red	green	stim	incongruent	s572	False
88.038	1.5	2.0	congruent	1.0	89.0	stroop	89	0.472	red	red	stim	congruent	s572	False
90.042	1.5	2.0	congruent	1.0	89.0	stroop	89	0.553	red	red	stim	congruent	s572	False
92.047	1.5	2.272	incongruent	1.0	71.0	stroop	71	0.427	blue	red	stim	incongruent	s572	False
94.322	1.5	2.0	incongruent	1.0	82.0	stroop	82	0.392	green	red	stim	incongruent	s572	False
96.325	1.5	2.0	congruent	1.0	71.0	stroop	71	0.341	blue	blue	stim	congruent	s572	False
98.327	1.5	2.0	incongruent	1.0	82.0	stroop	82	0.445	green	red	stim	incongruent	s572	False
100.33	1.5	2.0	incongruent	1.0	89.0	stroop	89	0.436	red	green	stim	incongruent	s572	False
102.332	1.5	2.0	incongruent	1.0	89.0	stroop	89	0.436	red	green	stim	incongruent	s572	False
104.334	1.5	2.0	incongruent	1.0	71.0	stroop	71	0.613	blue	green	stim	incongruent	s572	False
106.336	1.5	2.272	congruent	1.0	71.0	stroop	71	0.442	blue	blue	stim	congruent	s572	False
108.61	1.5	2.0	incongruent	1.0	71.0	stroop	71	0.528	blue	green	stim	incongruent	s572	False
110.616	1.5	2.408	congruent	1.0	71.0	stroop	71	0.416	blue	blue	stim	congruent	s572	False
113.025	1.5	2.0	congruent	1.0	71.0	stroop	71	0.473	blue	blue	stim	congruent	s572	False
115.027	1.5	2.136	congruent	1.0	82.0	stroop	82	0.458	green	green	stim	congruent	s572	False
117.168	1.5	2.0	congruent	1.0	71.0	stroop	71	0.556	blue	blue	stim	congruent	s572	False
119.173	1.5	2.0	congruent	1.0	82.0	stroop	82	0.596	green	green	stim	congruent	s572	False
121.177	1.5	2.0	incongruent	1.0	82.0	stroop	82	0.581	green	red	stim	incongruent	s572	False
123.181	1.5	2.272	congruent	1.0	71.0	stroop	71	0.422	blue	blue	stim	congruent	s572	False
125.456	1.5	2.0	incongruent	1.0	82.0	stroop	82	0.539	green	blue	stim	incongruent	s572	False
127.457	1.5	2.272	incongruent	1.0	71.0	stroop	71	0.539	blue	green	stim	incongruent	s572	False
129.732	1.5	2.272	incongruent	1.0	71.0	stroop	71	0.416	blue	green	stim	incongruent	s572	False
132.006	1.5	2.0	incongruent	1.0	82.0	stroop	82	0.494	green	blue	stim	incongruent	s572	False
134.009	1.5	2.68	congruent	1.0	82.0	stroop	82	0.437	green	green	stim	congruent	s572	False
136.694	1.5	2.0	incongruent	1.0	89.0	stroop	89	0.394	red	blue	stim	incongruent	s572	False
138.699	1.5	2.272	congruent	1.0	71.0	stroop	71	0.404	blue	blue	stim	congruent	s572	False
