duration	onset	block_duration	movement_onset	planning	condition	exp_stage	experiment_exp_id	key_press	problem_id	response_time	trial_id	trial_type	worker_id	junk
4.871	3.015	4.871	7.886	1	UA_with_intermediate	practice	ward_and_allport	71	0.0	4.871	to_hand	poldrack-single-stim	s577	False
0.1	7.888	1.166	9.054	0	UA_with_intermediate	practice	ward_and_allport	82	0.0	1.166	to_board	poldrack-single-stim	s577	False
0.1	9.056	0.917	9.973	0	UA_with_intermediate	practice	ward_and_allport	71	0.0	0.917	to_hand	poldrack-single-stim	s577	False
0.1	9.975	0.497	10.472	0	UA_with_intermediate	practice	ward_and_allport	89	0.0	0.497	to_board	poldrack-single-stim	s577	False
0.1	10.473	2.127	12.6	0	UA_with_intermediate	practice	ward_and_allport	82	0.0	2.127	to_hand	poldrack-single-stim	s577	False
0.1	12.602	0.765	13.367	0	UA_with_intermediate	practice	ward_and_allport	89	0.0	0.765	to_board	poldrack-single-stim	s577	False
1.0	13.373	2.5	13.372	0	UA_with_intermediate	practice	ward_and_allport	-1	0.0	n/a	feedback	poldrack-single-stim	s577	False
3.913	15.875	3.913	19.788	1	UA_with_intermediate	practice	ward_and_allport	89	1.0	3.913	to_hand	poldrack-single-stim	s577	False
0.1	19.789	0.6	20.389	0	UA_with_intermediate	practice	ward_and_allport	82	1.0	0.6	to_board	poldrack-single-stim	s577	False
0.1	20.391	1.004	21.395	0	UA_with_intermediate	practice	ward_and_allport	71	1.0	1.004	to_hand	poldrack-single-stim	s577	False
0.1	21.396	0.436	21.832	0	UA_with_intermediate	practice	ward_and_allport	89	1.0	0.436	to_board	poldrack-single-stim	s577	False
0.1	21.832	1.634	23.466	0	UA_with_intermediate	practice	ward_and_allport	82	1.0	1.634	to_hand	poldrack-single-stim	s577	False
0.1	23.468	0.441	23.909	0	UA_with_intermediate	practice	ward_and_allport	89	1.0	0.441	to_board	poldrack-single-stim	s577	False
1.0	23.914	2.1	23.913	0	UA_with_intermediate	practice	ward_and_allport	-1	1.0	n/a	feedback	poldrack-single-stim	s577	False
2.531	26.016	2.531	28.547	1	UA_without_intermediate	practice	ward_and_allport	82	2.0	2.531	to_hand	poldrack-single-stim	s577	False
0.1	28.547	0.535	29.082	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.535	to_board	poldrack-single-stim	s577	False
0.1	29.085	1.337	30.422	0	UA_without_intermediate	practice	ward_and_allport	71	2.0	1.337	to_hand	poldrack-single-stim	s577	False
0.1	30.424	0.322	30.746	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.322	to_board	poldrack-single-stim	s577	False
0.1	30.748	1.414	32.162	0	UA_without_intermediate	practice	ward_and_allport	71	2.0	1.414	to_hand	poldrack-single-stim	s577	False
0.1	32.163	0.36	32.523	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.36	to_board	poldrack-single-stim	s577	False
1.0	32.531	2.2	32.53	0	UA_without_intermediate	practice	ward_and_allport	-1	2.0	n/a	feedback	poldrack-single-stim	s577	False
2.468	34.733	2.468	37.201	1	UA_without_intermediate	practice	ward_and_allport	71	3.0	2.468	to_hand	poldrack-single-stim	s577	False
0.1	37.203	0.326	37.529	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.326	to_board	poldrack-single-stim	s577	False
0.1	37.532	1.422	38.954	0	UA_without_intermediate	practice	ward_and_allport	82	3.0	1.422	to_hand	poldrack-single-stim	s577	False
0.1	38.955	0.356	39.311	0	UA_without_intermediate	practice	ward_and_allport	71	3.0	0.356	to_board	poldrack-single-stim	s577	False
0.1	39.313	0.69	40.003	0	UA_without_intermediate	practice	ward_and_allport	71	3.0	0.69	to_hand	poldrack-single-stim	s577	False
0.1	40.004	0.32	40.324	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.32	to_board	poldrack-single-stim	s577	False
0.1	40.326	0.999	41.325	0	UA_without_intermediate	practice	ward_and_allport	71	3.0	0.999	to_hand	poldrack-single-stim	s577	False
0.1	41.326	0.235	41.561	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.235	to_board	poldrack-single-stim	s577	False
1.0	41.564	2.0	41.563	0	UA_without_intermediate	practice	ward_and_allport	-1	3.0	n/a	feedback	poldrack-single-stim	s577	False
5.705	45.569	5.705	51.274	1	PA_without_intermediate	test	ward_and_allport	89	0.0	5.705	to_hand	poldrack-single-stim	s577	False
0.1	51.275	1.385	52.66	0	PA_without_intermediate	test	ward_and_allport	82	0.0	1.385	to_board	poldrack-single-stim	s577	False
0.1	52.662	2.073	54.735	0	PA_without_intermediate	test	ward_and_allport	89	0.0	2.073	to_hand	poldrack-single-stim	s577	False
0.1	54.736	1.402	56.138	0	PA_without_intermediate	test	ward_and_allport	82	0.0	1.402	to_board	poldrack-single-stim	s577	False
0.1	56.141	1.429	57.57	0	PA_without_intermediate	test	ward_and_allport	89	0.0	1.429	to_hand	poldrack-single-stim	s577	False
0.1	57.571	0.898	58.469	0	PA_without_intermediate	test	ward_and_allport	71	0.0	0.898	to_board	poldrack-single-stim	s577	False
1.0	58.472	3.088	58.471	0	PA_without_intermediate	test	ward_and_allport	-1	0.0	n/a	feedback	poldrack-single-stim	s577	False
3.711	61.562	3.711	65.273	1	PA_with_intermediate	test	ward_and_allport	82	1.0	3.711	to_hand	poldrack-single-stim	s577	False
0.1	65.274	0.699	65.973	0	PA_with_intermediate	test	ward_and_allport	89	1.0	0.699	to_board	poldrack-single-stim	s577	False
0.1	65.975	2.958	68.933	0	PA_with_intermediate	test	ward_and_allport	89	1.0	2.958	to_hand	poldrack-single-stim	s577	False
