onset	duration	movement_onset	CTI	block_duration	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task	task_switch	trial_id	trial_type	worker_id	first_trial_of_block	junk
3.629	1.0	4.474	0.1	2.136	True	89.0	High-Low	n/a	twobytwo	89.0	0.745	blue	1.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	1	False
5.874	1.0	6.785	0.1	2.68	True	71.0	High-Low	stay	twobytwo	71.0	0.811	blue	7.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s589	0	False
9.466	1.0	11.178	0.9	2.544	True	89.0	Magnitude	switch	twobytwo	89.0	0.812	orange	2.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s589	0	False
12.114	1.0	13.107	0.1	2.272	True	89.0	High-Low	switch	twobytwo	89.0	0.893	orange	2.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s589	0	False
15.295	1.0	16.713	0.9	2.272	True	89.0	Magnitude	switch	twobytwo	89.0	0.518	orange	1.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s589	0	False
17.677	1.0	18.603	0.1	2.408	True	89.0	Color	n/a	twobytwo	89.0	0.826	blue	9.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
20.189	1.0	21.388	0.1	2.136	True	71.0	Color	stay	twobytwo	71.0	1.099	orange	1.0	cue_stay	color	stay	stim	poldrack-single-stim	s589	0	False
22.431	1.0	23.299	0.1	2.272	True	71.0	High-Low	n/a	twobytwo	71.0	0.768	orange	8.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
25.611	1.0	27.074	0.9	2.0	True	89.0	Magnitude	switch	twobytwo	89.0	0.563	blue	2.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s589	0	False
28.522	1.0	29.948	0.9	2.136	True	89.0	High-Low	switch	twobytwo	89.0	0.526	blue	3.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s589	0	False
31.563	1.0	33.043	0.9	2.272	True	71.0	High-Low	stay	twobytwo	71.0	0.58	orange	9.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s589	0	False
33.941	1.0	34.74	0.1	2.0	True	89.0	Color	n/a	twobytwo	89.0	0.699	blue	1.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
36.046	1.0	37.2	0.1	2.68	True	89.0	High-Low	n/a	twobytwo	89.0	1.054	orange	4.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
38.834	1.0	39.587	0.1	2.0	True	71.0	Magnitude	switch	twobytwo	71.0	0.653	blue	8.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s589	0	False
40.939	1.0	41.864	0.1	2.0	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.825	blue	4.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
43.851	1.0	45.379	0.9	2.0	True	71.0	Orange-Blue	stay	twobytwo	71.0	0.628	orange	7.0	cue_stay	color	stay	stim	poldrack-single-stim	s589	0	False
46.758	1.0	48.221	0.9	2.272	True	89.0	Magnitude	n/a	twobytwo	89.0	0.563	blue	4.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
49.936	1.0	51.481	0.9	2.0	True	89.0	Color	n/a	twobytwo	89.0	0.645	blue	7.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
52.843	1.0	54.632	0.9	2.0	True	89.0	Magnitude	n/a	twobytwo	89.0	0.889	orange	4.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
54.953	1.0	55.91	0.1	2.0	True	71.0	Color	n/a	twobytwo	71.0	0.857	orange	8.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
57.059	1.0	57.845	0.1	2.68	True	89.0	Color	stay	twobytwo	89.0	0.686	blue	4.0	cue_stay	color	stay	stim	poldrack-single-stim	s589	0	False
60.646	1.0	62.098	0.9	2.0	True	89.0	Color	stay	twobytwo	89.0	0.552	blue	2.0	cue_stay	color	stay	stim	poldrack-single-stim	s589	0	False
62.755	1.0	63.474	0.1	2.136	True	71.0	High-Low	n/a	twobytwo	71.0	0.619	blue	9.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
64.995	1.0	65.732	0.1	2.408	True	89.0	Magnitude	switch	twobytwo	89.0	0.637	blue	1.0	cue_switch	magnitude	stay	stim	poldrack-single-stim	s589	0	False
67.51	1.0	68.311	0.1	2.136	True	71.0	Magnitude	stay	twobytwo	71.0	0.701	orange	6.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s589	0	False
70.556	1.0	71.954	0.9	2.0	True	71.0	Magnitude	stay	twobytwo	71.0	0.498	blue	8.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s589	0	False
73.464	1.0	74.827	0.9	2.0	False	71.0	Orange-Blue	n/a	twobytwo	89.0	0.463	orange	6.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
75.569	1.0	76.848	0.1	2.544	True	71.0	High-Low	n/a	twobytwo	71.0	1.179	blue	6.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
79.018	1.0	80.559	0.9	2.136	True	89.0	High-Low	stay	twobytwo	89.0	0.641	orange	2.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s589	0	False
81.265	1.0	82.2	0.1	2.544	True	71.0	High-Low	stay	twobytwo	71.0	0.835	orange	6.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s589	0	False
83.914	1.0	84.758	0.1	2.68	True	71.0	Color	n/a	twobytwo	71.0	0.744	orange	6.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
86.706	1.0	87.727	0.1	2.0	True	71.0	Orange-Blue	switch	twobytwo	71.0	0.921	orange	2.0	cue_switch	color	stay	stim	poldrack-single-stim	s589	0	False
88.812	1.0	89.569	0.1	2.272	True	71.0	High-Low	n/a	twobytwo	71.0	0.657	orange	9.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
91.991	1.0	93.6	0.9	3.088	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.709	orange	7.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
95.186	1.0	96.015	0.1	2.0	True	71.0	High-Low	n/a	twobytwo	71.0	0.729	blue	6.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
97.295	1.0	98.282	0.1	2.136	True	89.0	High-Low	stay	twobytwo	89.0	0.887	orange	1.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s589	0	False
99.536	1.0	100.67	0.1	2.136	True	89.0	Orange-Blue	n/a	twobytwo	89.0	1.034	blue	6.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
101.778	1.0	102.674	0.1	2.0	True	89.0	Orange-Blue	stay	twobytwo	89.0	0.796	blue	8.0	cue_stay	color	stay	stim	poldrack-single-stim	s589	0	False
103.885	1.0	104.663	0.1	2.272	True	89.0	Color	switch	twobytwo	89.0	0.678	blue	1.0	cue_switch	color	stay	stim	poldrack-single-stim	s589	0	False
107.063	1.0	108.724	0.9	2.0	True	89.0	Magnitude	n/a	twobytwo	89.0	0.761	blue	4.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
109.173	1.0	110.247	0.1	2.136	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.974	orange	6.0	task_switch	color	switch	stim	poldrack-single-stim	s589	0	False
112.213	1.0	113.793	0.9	2.136	True	89.0	Magnitude	n/a	twobytwo	89.0	0.68	orange	1.0	task_switch	magnitude	switch	stim	poldrack-single-stim	s589	0	False
114.456	1.0	115.298	0.1	2.544	True	71.0	Magnitude	stay	twobytwo	71.0	0.742	orange	6.0	cue_stay	magnitude	stay	stim	poldrack-single-stim	s589	0	False
