onset	duration	movement_onset	coded_response	experiment_exp_id	item_coding	item_text	possible_responses	response_time	survey	trial_type	worker_id	junk
1.007	8.5	5.289	5.0	survey_medley	forward	I refuse things that are bad for me.	66,89,71,82,77	4.282	brief	Q14	s601	False
10.147	8.5	14.796	2.0	survey_medley	reverse	I have a hard time breaking bad habits.	66,89,71,82,77	4.649	brief	Q10	s601	False
19.763	8.5	22.67	4.0	survey_medley	reverse	I have trouble concentrating.	66,89,71,82,77	2.907	brief	Q18	s601	False
29.377	8.5	33.065	4.0	survey_medley	reverse	I say inappropriate things.	66,89,71,82,77	3.688	brief	Q12	s601	False
39.672	8.5	43.681	3.0	survey_medley	forward	I could do anything I want in the future.	66,89,71,82,77	4.009	future_time	Q27	s601	False
49.764	8.5	49.763	0.0	survey_medley	forward	Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.	66,89,71,82	n/a	upps	Q32	s601	False
58.836	8.5	63.816	3.0	survey_medley	reverse	I have difficulty maintaining my focus on projects that take more than a few months to complete.	66,89,71,82,77	4.98	grit	Q06	s601	False
68.995	8.5	70.982	5.0	survey_medley	forward	I am a hard worker.	66,89,71,82,77	1.987	grit	Q04	s601	False
78.881	8.5	82.533	2.0	survey_medley	reverse	New ideas and projects sometimes distract me from previous ones.	66,89,71,82,77	3.652	grit	Q01	s601	False
88.564	8.5	91.462	3.0	survey_medley	reverse	I often act without thinking through all the alternatives.	66,89,71,82,77	2.898	brief	Q21	s601	False
98.113	8.5	102.097	2.0	survey_medley	reverse	I often set a goal but later choose to pursue a different one.	66,89,71,82,77	3.984	grit	Q05	s601	False
109.43	8.5	111.525	4.0	survey_medley	forward	Many opportunities await me in the future.	66,89,71,82,77	2.095	future_time	Q22	s601	False
119.043	8.5	121.124	4.0	survey_medley	forward	My future seems infinite to me.	66,89,71,82,77	2.081	future_time	Q26	s601	False
128.252	8.5	131.193	4.0	survey_medley	forward	There is plenty of time left in my life to make new plans.	66,89,71,82,77	2.941	future_time	Q28	s601	False
