onset	duration	block_duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	trial_id	worker_id	junk
3.518048	1.7	2.1009520000000004	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.616	stim	s609	False
6.130864	1.7	2.100136	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.476	stim	s609	False
8.739728	1.7	2.100272	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.547	stim	s609	False
11.349727999999999	1.7	2.100272	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.453	stim	s609	False
13.959	1.7	2.1	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.664	stim	s609	False
16.573	1.7	2.1	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.501	stim	s609	False
19.188727999999998	1.7	2.100272	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.446	stim	s609	False
21.797	1.7	2.1	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.513	stim	s609	False
24.405	1.7	2.1	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.472	stim	s609	False
27.017727999999998	1.7	2.100272	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.591	stim	s609	False
29.631	1.7	2.1	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.541	stim	s609	False
32.244864	1.7	2.100136	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.618	stim	s609	False
34.857728	1.7	2.100272	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.526	stim	s609	False
37.466	1.7	2.1	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.527	stim	s609	False
40.078	1.7	2.1	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.528	stim	s609	False
42.687	1.7	2.1	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.573	stim	s609	False
45.295	1.7	2.1	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.507	stim	s609	False
47.903	1.7	2.1	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.69	stim	s609	False
50.516	1.7	2.1	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.548	stim	s609	False
53.124728000000005	1.7	2.100272	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.611	stim	s609	False
55.731864	1.7	2.100136	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.824	stim	s609	False
58.344911999999994	1.7	2.1010880000000003	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.608	stim	s609	False
60.953728000000005	1.7	2.100272	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.541	stim	s609	False
63.561864	1.7	2.100136	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.545	stim	s609	False
66.169864	1.7	2.100136	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.393	stim	s609	False
68.783	1.7	2.1	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.481	stim	s609	False
71.396	1.7	2.1	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.438	stim	s609	False
74.004	1.7	2.1	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.465	stim	s609	False
76.613	1.7	2.1	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.469	stim	s609	False
79.220864	1.7	2.100136	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.517	stim	s609	False
81.82772800000001	1.7	2.100272	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.49	stim	s609	False
84.435864	1.7	2.100136	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.496	stim	s609	False
87.043864	1.7	2.100136	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.406	stim	s609	False
89.653	1.7	2.1	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.66	stim	s609	False
