onset	duration	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	stim_color	stim_word	trial_id	trial_type	worker_id	junk
3.513	1.5	2.272	incongruent	1.0	89.0	stroop	89	0.777	red	blue	stim	incongruent	s618	False
5.791	1.5	2.0	incongruent	1.0	89.0	stroop	89	0.631	red	green	stim	incongruent	s618	False
7.796	1.5	2.0	congruent	1.0	71.0	stroop	71	0.558	blue	blue	stim	congruent	s618	False
9.798	1.5	2.0	congruent	1.0	82.0	stroop	82	0.467	green	green	stim	congruent	s618	False
11.802	1.5	2.0	incongruent	1.0	89.0	stroop	89	0.469	red	blue	stim	incongruent	s618	False
13.805	1.5	2.136	congruent	1.0	71.0	stroop	71	0.442	blue	blue	stim	congruent	s618	False
15.946	1.5	2.0	congruent	1.0	89.0	stroop	89	0.523	red	red	stim	congruent	s618	False
17.951	1.5	2.0	incongruent	1.0	71.0	stroop	71	0.543	blue	green	stim	incongruent	s618	False
19.954	1.5	2.136	congruent	1.0	71.0	stroop	71	0.62	blue	blue	stim	congruent	s618	False
22.095	1.5	2.0	incongruent	1.0	82.0	stroop	82	0.598	green	blue	stim	incongruent	s618	False
24.1	1.5	2.0	incongruent	1.0	71.0	stroop	71	0.529	blue	green	stim	incongruent	s618	False
26.103	1.5	2.136	incongruent	0.0	82.0	stroop	89	0.541	green	red	stim	incongruent	s618	False
28.242	1.5	2.136	congruent	1.0	89.0	stroop	89	0.395	red	red	stim	congruent	s618	False
30.38	1.5	2.272	congruent	1.0	82.0	stroop	82	0.4	green	green	stim	congruent	s618	False
32.658	1.5	2.68	incongruent	1.0	89.0	stroop	89	0.817	red	blue	stim	incongruent	s618	False
35.343	1.5	2.0	congruent	1.0	71.0	stroop	71	0.502	blue	blue	stim	congruent	s618	False
37.348	1.5	2.0	congruent	1.0	89.0	stroop	89	0.614	red	red	stim	congruent	s618	False
39.354	1.5	2.272	incongruent	1.0	82.0	stroop	82	0.768	green	red	stim	incongruent	s618	False
41.631	1.5	2.0	incongruent	0.0	82.0	stroop	89	0.618	green	blue	stim	incongruent	s618	False
43.636	1.5	2.0	congruent	1.0	82.0	stroop	82	0.931	green	green	stim	congruent	s618	False
45.642	1.5	2.0	incongruent	1.0	82.0	stroop	82	0.915	green	blue	stim	incongruent	s618	False
47.644	1.5	2.0	incongruent	1.0	82.0	stroop	82	0.632	green	blue	stim	incongruent	s618	False
