onset	duration	movement_onset	EV	action	block_duration	experiment_exp_id	gain_amount	gain_probability	key_press	loss_amount	loss_probability	num_cards	num_click_in_round	num_loss_cards	risk	response_time	total_cards	trial_id	trial_type	worker_id	junk	feedback
3.005	5.029	8.034	-1.087777330478379	draw_card	5.029	columbia_card_task_fmri	12.0	0.8333333333333334	89.0	-70.0	0.1666666666666666	6.0	1.0	1.0	-2.1311642286052006	5.029	1.0	stim	poldrack-single-stim	s624	False	0
8.786	1.5	8.035	n/a	-1.0	2.25	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
10.288	3.217	13.505	-0.2544439971450454	draw_card	3.217	columbia_card_task_fmri	14.0	0.8333333333333334	89.0	-75.0	0.1666666666666666	6.0	1.0	1.0	0.4771506098074525	3.217	n/a	stim	poldrack-single-stim	s624	False	1
13.506	2.52	16.026	-3.221110663811712	draw_card	2.52	columbia_card_task_fmri	14.0	0.8	89.0	-75.0	0.2	6.0	2.0	1.0	2.9084639608602885	2.52	n/a	stim	poldrack-single-stim	s624	False	1
16.027	1.379	17.406	-7.671110663811714	draw_card	1.379	columbia_card_task_fmri	14.0	0.75	89.0	-75.0	0.25	6.0	3.0	1.0	5.846235662819474	1.379	3.0	stim	poldrack-single-stim	s624	False	0
18.157	1.5	17.406	n/a	-1.0	2.386	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
19.795	2.768	22.563	1.412222669521621	draw_card	2.768	columbia_card_task_fmri	15.0	0.8333333333333334	89.0	-70.0	0.1666666666666666	6.0	1.0	1.0	-1.0133237051379922	2.768	n/a	stim	poldrack-single-stim	s624	False	1
22.567	1.132	23.699	-1.4211106638117132	draw_card	1.132	columbia_card_task_fmri	15.0	0.8	89.0	-70.0	0.2	6.0	2.0	1.0	1.3086854038515412	1.132	n/a	stim	poldrack-single-stim	s624	False	1
23.701	1.397	25.098	-5.671110663811714	draw_card	1.397	columbia_card_task_fmri	15.0	0.75	89.0	-70.0	0.25	6.0	3.0	1.0	4.114389421756407	1.397	3.0	stim	poldrack-single-stim	s624	False	0
25.849	1.5	25.098	n/a	-1.0	2.59	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
27.69	2.5	30.19	2.2455560028549546	draw_card	2.5	columbia_card_task_fmri	17.0	0.8333333333333334	89.0	-75.0	0.1666666666666666	6.0	1.0	1.0	1.5950199056987913	2.5	1.0	stim	poldrack-single-stim	s624	False	0
30.941	1.5	30.19	n/a	-1.0	2.658	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
32.85	2.071	34.921	3.5788893361882868	draw_card	2.071	columbia_card_task_fmri	24.0	0.75	89.0	-60.0	0.25	8.0	1.0	2.0	3.681430905070002	2.071	n/a	stim	poldrack-single-stim	s624	False	1
34.922	1.672	36.594	0.5788893361882868	draw_card	1.672	columbia_card_task_fmri	24.0	0.7142857142857143	89.0	-60.0	0.2857142857142857	8.0	2.0	2.0	5.255504795442256	1.672	2.0	stim	poldrack-single-stim	s624	False	0
37.346	1.5	36.595	n/a	-1.0	2.386	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
38.983	2.717	41.7	3.5788893361882868	draw_card	2.717	columbia_card_task_fmri	29.0	0.75	89.0	-75.0	0.25	8.0	1.0	2.0	12.34079919489701	2.717	n/a	stim	poldrack-single-stim	s624	False	1
41.702	1.034	42.736	-0.135396378097425	draw_card	1.034	columbia_card_task_fmri	29.0	0.7142857142857143	89.0	-75.0	0.2857142857142857	8.0	2.0	2.0	14.289734811454238	1.034	n/a	stim	poldrack-single-stim	s624	False	1
42.738	2.13	44.868	-5.087777330478378	end_round	2.13	columbia_card_task_fmri	29.0	0.6666666666666667	71.0	-75.0	0.3333333333333333	8.0	3.0	2.0	16.333245374404044	2.13	2.0	stim	poldrack-single-stim	s624	False	1
45.62	1.5	44.869	n/a	-1.0	2.386	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s624	False	0
