onset	duration	block_duration	choice	experiment_exp_id	key_press	large_amount	later_delay	response_time	small_amount	trial_id	trial_type	worker_id	junk
3.01	4.0	5.316	smaller_sooner	discount_fixed	71	31.0	76.0	1.446	20.0	n/a	smaller_sooner	s626	False
8.329	4.0	4.568	smaller_sooner	discount_fixed	71	43.0	19.0	2.193	20.0	n/a	smaller_sooner	s626	False
12.903	4.0	4.636	smaller_sooner	discount_fixed	71	60.0	124.0	2.629	20.0	n/a	smaller_sooner	s626	False
17.541	4.0	4.908	smaller_sooner	discount_fixed	71	27.0	142.0	1.176	20.0	n/a	smaller_sooner	s626	False
22.455	4.0	4.5	smaller_sooner	discount_fixed	71	25.0	70.0	1.24	20.0	n/a	smaller_sooner	s626	False
26.96	4.0	4.976	smaller_sooner	discount_fixed	71	44.0	92.0	2.252	20.0	n/a	smaller_sooner	s626	False
31.94	4.0	4.908	smaller_sooner	discount_fixed	71	41.0	27.0	1.856	20.0	n/a	smaller_sooner	s626	False
36.851	4.0	4.568	larger_later	discount_fixed	89	64.0	89.0	1.454	20.0	n/a	larger_later	s626	False
41.42	4.0	4.5	larger_later	discount_fixed	89	78.0	108.0	1.423	20.0	n/a	larger_later	s626	False
45.923	4.0	6.2	smaller_sooner	discount_fixed	71	80.0	145.0	2.882	20.0	n/a	smaller_sooner	s626	False
52.128	4.0	4.704	smaller_sooner	discount_fixed	71	41.0	174.0	1.53	20.0	n/a	smaller_sooner	s626	False
56.834	4.0	5.044	smaller_sooner	discount_fixed	71	42.0	145.0	2.525	20.0	n/a	smaller_sooner	s626	False
61.884	4.0	5.044	smaller_sooner	discount_fixed	71	36.0	114.0	2.968	20.0	n/a	smaller_sooner	s626	False
66.931	4.0	5.18	larger_later	discount_fixed	89	58.0	55.0	1.832	20.0	n/a	larger_later	s626	False
72.117	4.0	4.976	larger_later	discount_fixed	89	81.0	58.0	1.162	20.0	n/a	larger_later	s626	False
77.096	4.0	4.772	smaller_sooner	discount_fixed	71	32.0	111.0	1.417	20.0	n/a	smaller_sooner	s626	False
81.873	4.0	4.772	smaller_sooner	discount_fixed	71	25.0	141.0	0.9	20.0	n/a	smaller_sooner	s626	False
86.647	4.0	5.18	larger_later	discount_fixed	89	67.0	23.0	2.239	20.0	n/a	larger_later	s626	False
91.832	4.0	5.18	larger_later	discount_fixed	89	77.0	161.0	1.74	20.0	n/a	larger_later	s626	False
97.017	4.0	5.248	smaller_sooner	discount_fixed	71	55.0	163.0	2.44	20.0	n/a	smaller_sooner	s626	False
102.268	4.0	4.568	larger_later	discount_fixed	89	40.0	159.0	1.507	20.0	n/a	larger_later	s626	False
106.843	4.0	4.5	larger_later	discount_fixed	89	76.0	161.0	2.196	20.0	n/a	larger_later	s626	False
111.347	4.0	4.908	smaller_sooner	discount_fixed	71	48.0	128.0	1.089	20.0	n/a	smaller_sooner	s626	False
116.257	4.0	4.568	smaller_sooner	discount_fixed	71	39.0	95.0	1.377	20.0	n/a	smaller_sooner	s626	False
120.828	4.0	6.2	larger_later	discount_fixed	89	83.0	105.0	1.515	20.0	n/a	larger_later	s626	False
127.031	4.0	4.908	larger_later	discount_fixed	89	67.0	41.0	1.927	20.0	n/a	larger_later	s626	False
131.945	4.0	5.248	smaller_sooner	discount_fixed	71	56.0	172.0	2.187	20.0	n/a	smaller_sooner	s626	False
137.199	4.0	5.044	smaller_sooner	discount_fixed	71	28.0	123.0	1.797	20.0	n/a	smaller_sooner	s626	False
142.245	4.0	4.636	smaller_sooner	discount_fixed	71	50.0	129.0	1.276	20.0	n/a	smaller_sooner	s626	False
146.883	4.0	4.704	smaller_sooner	discount_fixed	71	23.0	61.0	1.615	20.0	n/a	smaller_sooner	s626	False
151.591	4.0	4.636	larger_later	discount_fixed	89	79.0	92.0	1.211	20.0	n/a	larger_later	s626	False
156.23	4.0	4.568	smaller_sooner	discount_fixed	71	61.0	141.0	2.426	20.0	n/a	smaller_sooner	s626	False
160.8	4.0	4.568	larger_later	discount_fixed	89	43.0	38.0	2.15	20.0	n/a	larger_later	s626	False
165.372	4.0	4.908	smaller_sooner	discount_fixed	71	66.0	145.0	1.6	20.0	n/a	smaller_sooner	s626	False
170.283	4.0	4.84	larger_later	discount_fixed	89	30.0	23.0	1.667	20.0	n/a	larger_later	s626	False
175.128	4.0	5.248	larger_later	discount_fixed	89	32.0	57.0	2.105	20.0	n/a	larger_later	s626	False
180.377	4.0	4.772	smaller_sooner	discount_fixed	71	27.0	91.0	1.685	20.0	n/a	smaller_sooner	s626	False
185.153	4.0	5.996	larger_later	discount_fixed	89	43.0	120.0	2.08	20.0	n/a	larger_later	s626	False
191.15	4.0	5.588	larger_later	discount_fixed	89	75.0	60.0	3.027	20.0	n/a	larger_later	s626	False
196.741	4.0	4.568	smaller_sooner	discount_fixed	71	34.0	176.0	1.748	20.0	n/a	smaller_sooner	s626	False
201.311	4.0	5.112	smaller_sooner	discount_fixed	71	24.0	38.0	1.028	20.0	n/a	smaller_sooner	s626	False
206.426	4.0	5.656	larger_later	discount_fixed	89	82.0	74.0	1.443	20.0	n/a	larger_later	s626	False
212.084	4.0	4.568	false	discount_fixed	-1	58.0	53.0	n/a	20.0	n/a	false	s626	False
216.654	4.0	4.772	smaller_sooner	discount_fixed	71	54.0	23.0	0.009	20.0	n/a	smaller_sooner	s626	False
221.428	4.0	5.044	smaller_sooner	discount_fixed	71	41.0	55.0	2.727	20.0	n/a	smaller_sooner	s626	False
226.479	4.0	4.84	larger_later	discount_fixed	89	77.0	142.0	1.629	20.0	n/a	larger_later	s626	False
231.323	4.0	5.18	smaller_sooner	discount_fixed	71	25.0	108.0	0.979	20.0	n/a	smaller_sooner	s626	False
236.509	4.0	5.044	smaller_sooner	discount_fixed	71	33.0	163.0	1.132	20.0	n/a	smaller_sooner	s626	False
241.558	4.0	4.976	smaller_sooner	discount_fixed	71	29.0	75.0	1.155	20.0	n/a	smaller_sooner	s626	False
246.54	4.0	4.976	smaller_sooner	discount_fixed	71	45.0	157.0	2.313	20.0	n/a	smaller_sooner	s626	False
251.522	4.0	5.316	smaller_sooner	discount_fixed	71	31.0	74.0	1.875	20.0	n/a	smaller_sooner	s626	False
256.839	4.0	4.5	larger_later	discount_fixed	89	80.0	39.0	1.331	20.0	n/a	larger_later	s626	False
261.346	4.0	5.044	smaller_sooner	discount_fixed	71	22.0	21.0	2.301	20.0	n/a	smaller_sooner	s626	False
266.395	4.0	4.704	smaller_sooner	discount_fixed	71	52.0	139.0	1.987	20.0	n/a	smaller_sooner	s626	False
271.104	4.0	4.84	smaller_sooner	discount_fixed	71	54.0	126.0	1.208	20.0	n/a	smaller_sooner	s626	False
275.95	4.0	6.744	smaller_sooner	discount_fixed	71	23.0	176.0	1.95	20.0	n/a	smaller_sooner	s626	False
282.695	4.0	4.5	smaller_sooner	discount_fixed	71	24.0	87.0	1.299	20.0	n/a	smaller_sooner	s626	False
287.197	4.0	4.568	larger_later	discount_fixed	89	36.0	140.0	3.086	20.0	n/a	larger_later	s626	False
291.771	4.0	4.704	smaller_sooner	discount_fixed	71	35.0	171.0	1.579	20.0	n/a	smaller_sooner	s626	False
296.478	4.0	4.908	larger_later	discount_fixed	89	34.0	43.0	3.304	20.0	n/a	larger_later	s626	False
301.389	4.0	4.568	larger_later	discount_fixed	89	74.0	121.0	1.987	20.0	n/a	larger_later	s626	False
314.465	4.0	4.772	smaller_sooner	discount_fixed	71	45.0	107.0	2.857	20.0	n/a	smaller_sooner	s626	False
319.241	4.0	4.636	larger_later	discount_fixed	89	77.0	24.0	1.326	20.0	n/a	larger_later	s626	False
323.879	4.0	4.568	smaller_sooner	discount_fixed	71	39.0	161.0	2.945	20.0	n/a	smaller_sooner	s626	False
328.45	4.0	5.452	smaller_sooner	discount_fixed	71	62.0	180.0	1.393	20.0	n/a	smaller_sooner	s626	False
333.906	4.0	5.384	smaller_sooner	discount_fixed	71	24.0	139.0	2.671	20.0	n/a	smaller_sooner	s626	False
339.292	4.0	4.568	larger_later	discount_fixed	89	58.0	72.0	1.328	20.0	n/a	larger_later	s626	False
343.864	4.0	6.268	larger_later	discount_fixed	89	56.0	93.0	2.144	20.0	n/a	larger_later	s626	False
350.136	4.0	5.52	smaller_sooner	discount_fixed	71	45.0	26.0	1.22	20.0	n/a	smaller_sooner	s626	False
355.66	4.0	4.568	smaller_sooner	discount_fixed	71	23.0	42.0	2.351	20.0	n/a	smaller_sooner	s626	False
