onset	duration	movement_onset	coded_response	experiment_exp_id	item_coding	item_responses	item_text	possible_responses	response_time	survey	trial_type	worker_id	junk
1.006	8.5	5.102	0.0	survey_medley	reverse	66,89,71,82,77	Pleasure and fun sometimes keep me from getting work done.	66,89,71,82,77	4.096	brief	Q17	s631	False
11.369	8.5	20.381	1.0	survey_medley	reverse	66,89,71,82	Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.	66,89,71,82,77	9.012	upps	Q32	s631	False
21.052	8.5	23.169	0.0	survey_medley	forward	66,89,71,82,77	I am good at resisting temptation.	66,89,71,82,77	2.117	brief	Q09	s631	False
31.21	8.5	34.148	0.0	survey_medley	reverse	66,89,71,82,77	New ideas and projects sometimes distract me from previous ones.	66,89,71,82,77	2.938	grit	Q01	s631	False
40.417	8.5	43.638	1.0	survey_medley	reverse	66,89,71,82,77	There are only limited possibilities in my future.	66,89,71,82,77	3.221	future_time	Q30	s631	False
51.596	8.5	54.756	0.25	survey_medley	forward	66,89,71,82,77	I refuse things that are bad for me.	66,89,71,82,77	3.16	brief	Q14	s631	False
60.871	8.5	64.642	0.0	survey_medley	reverse	66,89,71,82,77	I have difficulty maintaining my focus on projects that take more than a few months to complete.	66,89,71,82,77	3.771	grit	Q06	s631	False
70.485	8.5	73.003	1.0	survey_medley	forward	66,89,71,82,77	I could do anything I want in the future.	66,89,71,82,77	2.518	future_time	Q27	s631	False
79.555	8.5	83.101	0.25	survey_medley	forward	66,89,71,82,77	People would say that I have iron self-discipline.	66,89,71,82,77	3.546	brief	Q16	s631	False
88.558	8.5	92.277		survey_medley	reverse	66,89,71,82	I tend to act without thinking when I am really excited.	66,89,71,82,77	3.719	upps	Q37	s631	True
102.865	8.5	106.513	0.25	survey_medley	forward	66,89,71,82,77	I finish whatever I begin.	66,89,71,82,77	3.648	grit	Q07	s631	False
111.935	8.5	116.59	0.25	survey_medley	reverse	66,89,71,82,77	I often set a goal but later choose to pursue a different one.	66,89,71,82,77	4.655	grit	Q05	s631	False
122.23	8.5	126.971	1.0	survey_medley	reverse	66,89,71,82,77	As I get older, I begin to experience time as limited.	66,89,71,82,77	4.741	future_time	Q31	s631	False
134.02	8.5	135.579	1.0	survey_medley	forward	66,89,71,82,77	My future is filled with possibilities.	66,89,71,82,77	1.559	future_time	Q24	s631	False
143.227	8.5	144.7	1.0	survey_medley	forward	66,89,71,82,77	My future seems infinite to me.	66,89,71,82,77	1.473	future_time	Q26	s631	False
152.705	8.5	156.302	0.25	survey_medley	reverse	66,89,71,82,77	I wish I had more self-discipline.	66,89,71,82,77	3.597	brief	Q15	s631	False
162.659	8.5	164.515	1.0	survey_medley	forward	66,89,71,82,77	Most of my life lies ahead of me.	66,89,71,82,77	1.856	future_time	Q25	s631	False
174.518	8.5	177.054	1.0	survey_medley	forward	66,89,71,82,77	There is plenty of time left in my life to make new plans.	66,89,71,82,77	2.536	future_time	Q28	s631	False
183.724	8.5	187.956	0.5	survey_medley	forward	66,89,71,82,77	I am able to work effectively toward long-term goals.	66,89,71,82,77	4.232	brief	Q19	s631	False
195.243	8.5	197.146	0.25	survey_medley	reverse	66,89,71,82,77	I say inappropriate things.	66,89,71,82,77	1.903	brief	Q12	s631	False
204.245	8.5	205.712	1.0	survey_medley	forward	66,89,71,82,77	Many opportunities await me in the future.	66,89,71,82,77	1.467	future_time	Q22	s631	False
213.384	8.5	215.732	0.75	survey_medley	reverse	66,89,71,82,77	I am lazy.	66,89,71,82,77	2.348	brief	Q11	s631	False
222.999	8.5	228.167	0.25	survey_medley	reverse	66,89,71,82,77	I have been obsessed with a certain idea or project for a short time but later lost interest.	66,89,71,82,77	5.168	grit	Q03	s631	False
232.613	8.5	236.229	0.0	survey_medley	reverse	66,89	Would you enjoy the sensation of skiing very fast down a high mountain slope?	66,89,71,82,77	3.616	impulsive_venture	Q40	s631	False
242.908	8.5	246.787		survey_medley	reverse	66,89,71,82	When overjoyed, I feel like I cant stop myself from going overboard.	66,89,71,82,77	3.879	upps	Q35	s631	True
252.998	8.5	254.185	1.0	survey_medley	forward	66,89,71,82,77	I am a hard worker.	66,89,71,82,77	1.187	grit	Q04	s631	False
262.069	8.5	264.804	0.5	survey_medley	reverse	66,89,71,82,77	I have trouble concentrating.	66,89,71,82,77	2.735	brief	Q18	s631	False
272.228	8.5	273.568	1.0	survey_medley	reverse	66,89,71,82,77	I have the sense that time is running out.	66,89,71,82,77	1.34	future_time	Q29	s631	False
282.113	8.5	287.146	0.5	survey_medley	reverse	66,89,71,82,77	I often act without thinking through all the alternatives.	66,89,71,82,77	5.033	brief	Q21	s631	False
291.796	8.5	294.237	0.5	survey_medley	reverse	66,89,71,82,77	I have a hard time breaking bad habits.	66,89,71,82,77	2.441	brief	Q10	s631	False
301.342	8.5	306.908	0.0	survey_medley	reverse	66,89,71,82	When I am really excited, I tend not to think of the consequences of my actions.	66,89,71,82,77	5.566	upps	Q36	s631	False
312.657	8.5	314.392	1.0	survey_medley	forward	66,89,71,82,77	Setbacks don't discourage me.	66,89,71,82,77	1.735	grit	Q02	s631	False
322.271	8.5	324.691	0.0	survey_medley	reverse	66,89,71,82,77	I do certain things that are bad for me, if they are fun.	66,89,71,82,77	2.42	brief	Q13	s631	False
331.478	8.5	338.301	0.3333333333333333	survey_medley	reverse	66,89,71,82	Others would say I make bad choices when I am extremely happy about something.	66,89,71,82,77	6.823	upps	Q33	s631	False
341.025	8.5	344.187	0.0	survey_medley	reverse	66,89	Do you sometimes like doing things that are a bit frightening?	66,89,71,82,77	3.162	impulsive_venture	Q39	s631	False
350.503	8.5	358.008	0.3333333333333333	survey_medley	reverse	66,89,71,82	When I get really happy about something, I tend to do things that can have bad consequences.	66,89,71,82,77	7.505	upps	Q34	s631	False
359.71	8.5	363.052	0.75	survey_medley	forward	66,89,71,82,77	I am diligent.	66,89,71,82,77	3.342	grit	Q08	s631	False
369.801	8.5	373.177	0.0	survey_medley	reverse	66,89,71,82,77	Sometimes I can't stop myself from doing something, even if I know it is wrong.	66,89,71,82,77	3.376	brief	Q20	s631	False
380.707	8.5	383.761	1.0	survey_medley	forward	66,89,71,82,77	I expect that I will set many new goals in the future.	66,89,71,82,77	3.054	future_time	Q23	s631	False
390.594	8.5	393.507		survey_medley	reverse	66,89	Do you welcome new and exciting experiences and sensations even if they are a little frightening and unconventional?	66,89,71,82,77	2.913	impulsive_venture	Q38	s631	True
