onset	duration	SS_delay	block_duration	correct	correct_response	experiment_exp_id	key_press	passed_check	response_time	stopped	trial_id	trial_type	worker_id	junk
3.01	0.85	0.4	2.25	1.0	89.0	stop_signal	89.0	True	0.548	False	stim	stop_failure	s649	False
5.263	0.85	0.35	2.658	1.0	89.0	stop_signal	89.0	True	0.749	False	stim	go	s649	False
7.923	0.85	0.35	2.658	1.0	89.0	stop_signal	89.0	True	0.762	False	stim	go	s649	False
10.583	0.85	0.35	2.25	0.0	71.0	stop_signal	89.0	True	0.661	False	stim	go	s649	False
12.835	0.85	0.35	2.25	0.0	71.0	stop_signal	89.0	True	0.546	False	stim	go	s649	False
15.088	0.85	0.35	2.386	1.0	71.0	stop_signal	71.0	True	0.421	False	stim	go	s649	False
17.477	0.85	0.35	2.794	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
20.273	0.85	0.4	2.386	1.0	89.0	stop_signal	89.0	True	0.594	False	stim	stop_failure	s649	False
22.662	0.85	0.35	2.25	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
24.914	0.85	0.4	2.25	1.0	71.0	stop_signal	71.0	True	0.659	False	stim	stop_failure	s649	False
27.166	0.85	0.35	2.25	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
29.419	0.85	0.4	2.658	1.0	89.0	stop_signal	89.0	True	0.559	False	stim	go	s649	False
32.079	0.85	0.4	2.658	1.0	89.0	stop_signal	89.0	True	0.785	False	stim	go	s649	False
34.74	0.85	0.4	2.25	1.0	89.0	stop_signal	89.0	True	0.85	False	stim	go	s649	False
36.992	0.85	0.4	2.522	0.0	71.0	stop_signal	89.0	True	0.813	False	stim	go	s649	False
39.517	0.85	0.4	2.25	1.0	71.0	stop_signal	71.0	True	0.578	False	stim	go	s649	False
41.77	0.85	0.4	2.522	1.0	71.0	stop_signal	71.0	True	0.574	False	stim	stop_failure	s649	False
44.294	0.85	0.35	2.522	1.0	71.0	stop_signal	71.0	True	0.746	False	stim	go	s649	False
46.819	0.85	0.35	2.522	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
49.344	0.85	0.4	2.386	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
51.733	0.85	0.45	2.522	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
54.258	0.85	0.5	2.522	1.0	71.0	stop_signal	71.0	True	0.71	False	stim	go	s649	False
56.781	0.85	0.5	2.386	1.0	89.0	stop_signal	89.0	True	0.798	False	stim	go	s649	False
59.17	0.85	0.5	2.25	1.0	71.0	stop_signal	71.0	True	0.838	False	stim	go	s649	False
61.422	0.85	0.5	2.522	1.0	71.0	stop_signal	71.0	True	0.785	False	stim	go	s649	False
63.947	0.85	0.5	2.794	1.0	89.0	stop_signal	89.0	True	0.637	False	stim	go	s649	False
66.744	0.85	0.5	2.522	1.0	71.0	stop_signal	71.0	True	0.451	False	stim	stop_failure	s649	False
69.269	0.85	0.45	2.386	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
71.657	0.85	0.5	2.25	1.0	71.0	stop_signal	71.0	True	0.922	False	stim	go	s649	False
73.909	0.85	0.5	2.25	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
76.162	0.85	0.55	2.25	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
78.415	0.85	0.6	2.25	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
80.668	0.85	0.65	2.522	1.0	89.0	stop_signal	89.0	True	0.885	False	stim	go	s649	False
83.192	0.85	0.65	2.25	1.0	71.0	stop_signal	71.0	True	0.655	False	stim	go	s649	False
85.445	0.85	0.65	2.25	0.0	71.0	stop_signal	89.0	True	0.848	False	stim	stop_failure	s649	False
87.698	0.85	0.6	2.25	0.0	89.0	stop_signal	-1.0	True	n/a	True	stim	go	s649	False
89.949	0.85	0.6	2.25	0.0	89.0	stop_signal	-1.0	True	n/a	True	stim	go	s649	False
92.202	0.85	0.6	2.386	1.0	89.0	stop_signal	89.0	True	0.622	False	stim	go	s649	False
94.59	0.85	0.6	2.25	1.0	71.0	stop_signal	71.0	True	1.19	False	stim	go	s649	False
96.843	0.85	0.6	2.25	1.0	71.0	stop_signal	71.0	True	0.778	False	stim	stop_failure	s649	False
99.095	0.85	0.55	2.25	1.0	89.0	stop_signal	89.0	True	0.828	False	stim	go	s649	False
111.856	0.85	0.55	2.25	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
114.11	0.85	0.6	2.522	1.0	71.0	stop_signal	71.0	True	0.763	False	stim	stop_failure	s649	False
116.634	0.85	0.55	2.386	1.0	89.0	stop_signal	89.0	True	0.741	False	stim	go	s649	False
119.023	0.85	0.55	2.522	1.0	71.0	stop_signal	71.0	True	0.814	False	stim	go	s649	False
121.548	0.85	0.55	2.25	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
123.8	0.85	0.6	2.386	1.0	89.0	stop_signal	89.0	True	0.809	False	stim	go	s649	False
126.188	0.85	0.6	2.386	1.0	71.0	stop_signal	71.0	True	0.696	False	stim	go	s649	False
128.576	0.85	0.6	2.25	0.0	71.0	stop_signal	-1.0	True	n/a	True	stim	go	s649	False
130.829	0.85	0.6	2.386	0.0	71.0	stop_signal	-1.0	True	n/a	True	stim	go	s649	False
133.217	0.85	0.6	2.386	1.0	89.0	stop_signal	89.0	True	0.562	False	stim	go	s649	False
135.606	0.85	0.6	2.386	1.0	89.0	stop_signal	89.0	True	0.683	False	stim	stop_failure	s649	False
137.995	0.85	0.55	2.658	1.0	89.0	stop_signal	89.0	True	0.71	False	stim	go	s649	False
140.655	0.85	0.55	2.522	1.0	89.0	stop_signal	89.0	True	1.369	False	stim	go	s649	False
143.18	0.85	0.55	2.25	1.0	89.0	stop_signal	89.0	True	0.777	False	stim	stop_failure	s649	False
145.432	0.85	0.5	2.93	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
148.365	0.85	0.55	2.25	1.0	71.0	stop_signal	71.0	True	0.716	False	stim	go	s649	False
150.618	0.85	0.55	2.522	1.0	71.0	stop_signal	71.0	True	0.787	False	stim	go	s649	False
153.143	0.85	0.55	2.25	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
155.395	0.85	0.6	2.25	1.0	71.0	stop_signal	71.0	True	0.716	False	stim	go	s649	False
157.648	0.85	0.6	2.25	1.0	71.0	stop_signal	71.0	True	0.755	False	stim	go	s649	False
159.901	0.85	0.6	2.25	0.0	89.0	stop_signal	-1.0	True	n/a	True	stim	go	s649	False
162.154	0.85	0.6	2.522	0.0	89.0	stop_signal	-1.0	True	n/a	True	stim	go	s649	False
164.678	0.85	0.6	3.066	1.0	89.0	stop_signal	89.0	True	0.597	False	stim	stop_failure	s649	False
167.747	0.85	0.55	2.25	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
170.0	0.85	0.6	2.386	1.0	71.0	stop_signal	71.0	True	0.577	False	stim	go	s649	False
172.389	0.85	0.6	2.386	1.0	89.0	stop_signal	89.0	True	0.621	False	stim	stop_failure	s649	False
174.778	0.85	0.55	2.522	1.0	71.0	stop_signal	71.0	True	0.809	False	stim	go	s649	False
177.303	0.85	0.55	2.386	1.0	71.0	stop_signal	71.0	True	0.566	False	stim	go	s649	False
179.691	0.85	0.55	2.386	1.0	71.0	stop_signal	71.0	True	0.785	False	stim	go	s649	False
182.08	0.85	0.55	2.794	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
184.877	0.85	0.6	2.386	0.0	89.0	stop_signal	-1.0	True	n/a	True	stim	go	s649	False
187.266	0.85	0.6	2.25	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
189.518	0.85	0.65	2.522	1.0	71.0	stop_signal	71.0	True	0.496	False	stim	stop_failure	s649	False
192.042	0.85	0.6	2.386	1.0	71.0	stop_signal	71.0	True	0.733	False	stim	stop_failure	s649	False
194.431	0.85	0.55	2.386	1.0	89.0	stop_signal	89.0	True	0.982	False	stim	go	s649	False
196.82	0.85	0.55	2.25	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
199.074	0.85	0.6	2.386	1.0	71.0	stop_signal	71.0	True	0.896	False	stim	go	s649	False
201.463	0.85	0.6	2.25	1.0	89.0	stop_signal	89.0	True	0.695	False	stim	go	s649	False
203.715	0.85	0.6	2.25	1.0	71.0	stop_signal	71.0	True	0.632	False	stim	stop_failure	s649	False
205.968	0.85	0.55	2.25	0.0	71.0	stop_signal	-1.0	True	n/a	True	stim	go	s649	False
208.221	0.85	0.55	2.386	1.0	71.0	stop_signal	71.0	True	0.737	False	stim	go	s649	False
210.609	0.85	0.55	2.25	1.0	89.0	stop_signal	89.0	True	0.634	False	stim	stop_failure	s649	False
223.37	0.85	0.5	2.25	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
225.622	0.85	0.55	2.386	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
228.011	0.85	0.6	2.386	1.0	89.0	stop_signal	89.0	True	0.733	False	stim	stop_failure	s649	False
230.399	0.85	0.55	2.25	1.0	71.0	stop_signal	71.0	True	0.728	False	stim	go	s649	False
232.652	0.85	0.55	2.522	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
235.176	0.85	0.6	2.25	1.0	89.0	stop_signal	89.0	True	0.541	False	stim	go	s649	False
237.428	0.85	0.6	2.386	0.0	71.0	stop_signal	-1.0	True	n/a	True	stim	go	s649	False
239.817	0.85	0.6	2.25	1.0	71.0	stop_signal	71.0	True	0.778	False	stim	go	s649	False
242.07	0.85	0.6	2.25	1.0	71.0	stop_signal	71.0	True	0.424	False	stim	stop_failure	s649	False
244.323	0.85	0.55	2.386	0.0	89.0	stop_signal	-1.0	True	n/a	True	stim	go	s649	False
246.712	0.85	0.55	2.522	1.0	71.0	stop_signal	71.0	True	0.644	False	stim	go	s649	False
249.236	0.85	0.55	2.386	1.0	71.0	stop_signal	71.0	True	0.55	False	stim	go	s649	False
251.624	0.85	0.55	2.522	1.0	71.0	stop_signal	71.0	True	0.549	False	stim	go	s649	False
254.149	0.85	0.55	2.93	1.0	71.0	stop_signal	71.0	True	0.455	False	stim	stop_failure	s649	False
257.081	0.85	0.5	2.522	1.0	89.0	stop_signal	89.0	True	0.754	False	stim	go	s649	False
259.606	0.85	0.5	2.522	0.0	89.0	stop_signal	-1.0	True	n/a	True	stim	go	s649	False
262.13	0.85	0.5	2.25	1.0	89.0	stop_signal	89.0	True	0.699	False	stim	go	s649	False
264.383	0.85	0.5	2.522	1.0	71.0	stop_signal	71.0	True	0.558	False	stim	stop_failure	s649	False
266.908	0.85	0.45	2.386	0.0	89.0	stop_signal	71.0	True	0.605	False	stim	go	s649	False
269.296	0.85	0.45	2.25	1.0	89.0	stop_signal	89.0	True	0.674	False	stim	go	s649	False
271.548	0.85	0.45	2.386	1.0	89.0	stop_signal	89.0	True	1.527	False	stim	go	s649	False
273.936	0.85	0.45	2.25	1.0	89.0	stop_signal	89.0	True	0.671	False	stim	go	s649	False
276.189	0.85	0.45	2.386	1.0	89.0	stop_signal	89.0	True	0.544	False	stim	stop_failure	s649	False
278.577	0.85	0.4	2.522	0.0	89.0	stop_signal	-1.0	True	n/a	True	stim	go	s649	False
281.102	0.85	0.4	2.25	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
283.355	0.85	0.45	2.386	1.0	89.0	stop_signal	89.0	True	0.607	False	stim	stop_failure	s649	False
285.744	0.85	0.4	2.658	1.0	89.0	stop_signal	89.0	True	0.673	False	stim	go	s649	False
288.405	0.85	0.4	2.25	1.0	89.0	stop_signal	89.0	True	0.535	False	stim	stop_failure	s649	False
290.657	0.85	0.35	3.202	0.0	89.0	stop_signal	-1.0	True	n/a	True	stim	go	s649	False
293.862	0.85	0.35	2.386	0.0	89.0	stop_signal	-1.0	True	n/a	True	stim	go	s649	False
296.25	0.85	0.35	2.386	1.0	71.0	stop_signal	71.0	True	0.416	False	stim	go	s649	False
298.639	0.85	0.35	2.522	1.0	71.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
301.164	0.85	0.4	2.25	0.0	89.0	stop_signal	71.0	True	0.74	False	stim	go	s649	False
303.417	0.85	0.4	2.25	1.0	89.0	stop_signal	89.0	True	0.593	False	stim	stop_failure	s649	False
305.669	0.85	0.35	2.25	1.0	71.0	stop_signal	71.0	True	0.597	False	stim	stop_failure	s649	False
307.922	0.85	0.3	2.93	1.0	71.0	stop_signal	71.0	True	0.741	False	stim	go	s649	False
310.855	0.85	0.3	2.522	0.0	89.0	stop_signal	-1.0	True	n/a	True	stim	go	s649	False
313.38	0.85	0.3	2.522	1.0	71.0	stop_signal	71.0	True	0.565	False	stim	go	s649	False
315.904	0.85	0.3	2.25	0.0	71.0	stop_signal	89.0	True	0.457	False	stim	go	s649	False
318.157	0.85	0.3	2.522	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
320.682	0.85	0.35	2.25	1.0	89.0	stop_signal	-1.0	True	n/a	True	stim	stop_success	s649	False
