,Q02,Q03,Q04,Q05,Q07,Q08,Q10,Q11,Q12,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q22,Q23,Q24,Q25,Q27,Q28,Q29,Q30,Q31,Q37,Q38,Q39,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_power2,trans_y_derivative1_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_power2,rot_x_derivative1_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.0104547,0.0,0.0,0.00010930075209,0.0561446,0.0,0.00315221610916,0.0,0.0668049,0.0,0.00446289466401,0.0,8.72011e-05,0.0,7.60403184121e-09,0.0,0.000259018,0.0,0.0,6.709032432400001e-08,0.0,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.0166371,-0.0061823999999999,3.822206975999997e-05,0.0002767930964099,0.0458726,-0.010272,0.00210429543076,0.000105513984,0.0447779,-0.022027,0.00200506032841,0.0004851887289999,0.0,-8.72011e-05,0.0,7.60403184121e-09,0.000234662,-2.435600000000001e-05,5.932147360000003e-10,5.5066254244e-08,0.000118283,0.000118283,1.3990868089e-08,1.3990868089e-08,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.0008379969999999,0.017475097,0.0003053790151594,7.022389720089999e-07,-0.0165983,-0.0624709,0.00027550356289,0.00390261334681,-0.0612624,-0.1060403,0.00375308165376,0.01124454522409,-0.0005399269999999,-0.0005399269999999,2.91521165329e-07,2.91521165329e-07,0.0005626219999999,0.0003279599999999,1.0755776159999997e-07,3.16543514884e-07,0.0,-0.000118283,0.0,1.3990868089e-08,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-0.00330207,-0.004140067,1.7140154764489e-05,1.0903666284899997e-05,-0.0751405,-0.0585422,0.00564609474025,0.00342718918084,-0.118936,-0.0576735999999999,0.0141457720959999,0.0033262441369599,-0.000569422,-2.949500000000004e-05,3.242414140840001e-07,8.699550250000023e-10,0.00102917,0.000466548,2.1766703630400014e-07,1.0591908889000002e-06,0.0,0.0,0.0,0.0,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.00735836,-0.00405629,1.6453488564100007e-05,5.41454618896e-05,0.0364918,0.1116323,0.0013316514672399,0.0124617704032899,-0.0175746999999999,0.1013613,0.0003088700800899,0.0102741131376899,-0.000187208,0.000382214,3.5046835263999986e-08,1.46087541796e-07,0.000550816,-0.000478354,2.2882254931600014e-07,3.03398265856e-07,0.000120324,0.000120324,1.4477864976e-08,1.4477864976e-08,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.000878326,0.006480034,4.199084064115601e-05,7.71456562276e-07,0.162877,0.1263851999999999,0.026528917129,0.01597321877904,0.0652131,0.0827878,0.0042527484116099,0.0068538198288399,0.000293161,0.000480369,8.5943371921e-08,2.3075437616100002e-07,0.000105237,-0.000445579,1.98540645241e-07,1.1074826169e-08,0.000250945,0.0001306209999999,6.297339302499999e-08,1.7061845640999996e-08,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,0.00144703,0.002325356,5.407280526735999e-06,2.0938958209e-06,0.214768,0.0518909999999999,0.0461252938239999,0.002692675881,0.0554742,-0.0097389,0.0030773868656399,9.484617321000005e-05,-0.0001600449999999,-0.000453206,2.5614402024999988e-08,2.05395678436e-07,0.000124136,1.8899e-05,3.571722009999999e-10,1.5409746496e-08,0.000429679,0.000178734,1.8462404304100002e-07,3.1945842756000016e-08,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.0138358,-0.01528283,0.0002335648928089,0.00019142936164,0.109366,-0.1054019999999999,0.0119609219559999,0.0111095816039999,-0.0311502,-0.0866243999999999,0.00097033496004,0.0075037866753599,-0.000670847,-0.000510802,4.500356974090001e-07,2.6091868320400013e-07,2.44376e-05,-9.96984e-05,9.939770962560002e-09,5.9719629376e-10,0.000374403,-5.527599999999999e-05,1.4017760640900002e-07,3.055436175999999e-09,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-0.0106953,0.0031405,9.862740250000006e-06,0.00011438944209,0.00398014,-0.10538586,1.58415144196e-05,0.0111061794879396,-0.0797686999999999,-0.0486184999999999,0.0063630454996899,0.0023637585422499,-0.00078195,-0.0001111029999999,6.114458025000001e-07,1.2343876608999996e-08,5.20025e-05,2.75649e-05,7.5982371201e-10,2.70426000625e-09,0.000225642,-0.000148761,5.091431216400001e-08,2.2129835121000007e-08,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-0.0145424,-0.0038471,1.4800178410000006e-05,0.00021148139776,-0.0676833,-0.07166344,0.00458102909889,0.0051356486326336,-0.0831068999999999,-0.0033381999999999,0.0069067568276099,1.1143579239999996e-05,-0.000648903,0.0001330469999999,4.210751034090001e-07,1.7701504208999992e-08,0.000186519,0.0001345165,1.809468877225e-08,3.4789337361e-08,0.000161193,-6.444900000000002e-05,2.5983183249e-08,4.153673601000004e-09,1
