,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q38,Q38_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_power2,trans_x_derivative1_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_derivative1_power2,trans_z_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_derivative1_power2,rot_y_power2,rot_z,rot_z_derivative1,rot_z_power2,rot_z_derivative1_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,0.00912551,0.0,8.32749327601e-05,0.0,0.0626515,0.0,0.0,0.00392521045225,-0.0280131,0.0,0.0,0.0007847337716099,-0.000315243,0.0,0.0,9.9378149049e-08,-3.4828900000000004e-24,0.0,0.0,1.2130522752100002e-47,6.424790000000002e-05,0.0,4.127792654410002e-09,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6793014124996845e-31,4.6781713435154595e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.159732514968135e-30,-9.157447229999056e-29,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,0.00630356,-0.00282195,3.97348686736e-05,7.9634018025e-06,0.00212251,-0.06052899,0.0036637586304201,4.505048700100002e-06,-0.0526377,-0.0246245999999999,0.00060637092516,0.0027707274612899,-0.000483156,-0.000167913,2.8194775569e-08,2.3343972033600002e-07,-0.0,3.4828900000000004e-24,1.2130522752100002e-47,0.0,0.000103032,3.878409999999999e-05,1.0615593024000002e-08,1.5042064128099992e-09,-5.839453209819926e-31,-5.8383510523857806e-30,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485205807047502e-05,0.0005487201941426842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018567290367295483,-0.010741049470660236,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,0.00718777,0.0008842099999999,5.16640375729e-05,7.818273240999997e-07,-0.0472186,-0.04934111,0.0024345451360321,0.00222959618596,-0.0788621,-0.0262244,0.00068771915536,0.00621923081641,-0.000338163,0.0001449929999999,2.1022970048999985e-08,1.1435421456900005e-07,6.617439999999999e-24,6.617439999999999e-24,4.3790512153599987e-47,4.3790512153599987e-47,0.000127077,2.4045000000000004e-05,1.6148563929000005e-08,5.781620250000001e-10,-0.00011836898419881358,-0.0006848283212932772,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033815189383661287,0.010531353621846129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06619323321851694,-0.20614595912709596,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,0.0075387099999999,0.0003509399999999,5.6832148464099976e-05,1.2315888359999946e-07,-0.0255813,0.0216372999999999,0.00046817275129,0.0006544029096899,-0.0577388,0.0211233,0.0004461938028899,0.00333376902544,-0.000239013,9.915000000000004e-05,9.830722500000011e-09,5.7127214169000015e-08,-0.0,-6.617439999999999e-24,4.3790512153599987e-47,0.0,0.0,-0.000127077,0.0,1.6148563929000005e-08,-0.004219908032844699,-0.013144646924434041,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184426890745686,0.042886287531538364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4276015638634681,-0.8394649183542248,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,0.00742249,-0.0001162199999999,5.50933578001e-05,1.3507088399999646e-08,0.0639968,0.0895781,0.00802423599961,0.00409559041024,0.0255045,0.0832433,0.00692944699489,0.00065047952025,0.000184059,0.000423072,1.7898991718400005e-07,3.3877715481e-08,-9.07444e-05,-9.07444e-05,8.234546131360002e-09,8.234546131360002e-09,0.0,0.0,0.0,0.0,-0.027260177309175876,-0.053533582873987705,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704468052927721,0.09416941929475271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3789962136060143,-1.8432562179551215,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,0.00895686,0.00153437,8.022534105960001e-05,2.3542912969000007e-06,0.0397458,-0.0242509999999999,0.000588111001,0.00157972861764,0.00624868,-0.01925582,0.0003707866038724,3.904600174240001e-05,0.000145306,-3.875300000000001e-05,1.5017950090000011e-09,2.1113833636e-08,-0.000114484,-2.3739599999999985e-05,5.635686081599991e-10,1.3106586256e-08,0.0,0.0,0.0,0.0,-0.087912871393485,-0.11756348024284634,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560578220085881,0.1480057083572815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.054831865818112,-2.8969676978151373,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,0.00780764,-0.00114922,6.095924236960001e-05,1.3207066084000009e-06,-0.03267,-0.0724158,0.00524404808964,0.0010673289,-0.0650049,-0.07125358,0.0050770726628164,0.00422563702401,-2.70118e-05,-0.0001723178,2.9693424196839998e-08,7.296373392399997e-10,-0.0,0.000114484,1.3106586256e-08,0.0,0.0,0.0,0.0,0.0,-0.19474965797485222,-0.1848039130421123,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27395876349000126,0.1885340537403633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.362742795316775,-3.6901256851539213,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,0.00594759,-0.00186005,3.53738268081e-05,3.4597860025000007e-06,-0.0670953,-0.0344253,0.0011851012800899,0.00450177928209,-0.100645,-0.0356400999999999,0.0012702167280099,0.010129416025,9.96692e-05,0.000126681,1.6048075760999996e-08,9.93394942864e-09,8.69687e-05,8.69687e-05,7.56355477969e-09,7.56355477969e-09,0.0,0.0,0.0,0.0,-0.341882097303364,-0.2354581880528834,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4115491276802738,0.2078437284214903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.05607417434136,-4.067897403175568,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,0.0076600799999999,0.0017124899999999,5.8676825606399976e-05,2.9326220000999963e-06,-0.0229984,0.0440969,0.0019445365896099,0.00052892640256,-0.0544297,0.0462153,0.0021358539540899,0.00296259224209,0.000220555,0.0001208858,1.4613376641639998e-08,4.8644508025e-08,7.731119999999999e-05,-9.657500000000014e-06,9.326730625000027e-11,5.977021645439999e-09,0.0,0.0,0.0,0.0,-0.513585610922927,-0.25964595403427454,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5541156443006342,0.20613487415986212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.846813737184913,-4.034223635433806,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,0.013519,0.00585892,0.000182763361,3.432694356640001e-05,0.0490598,0.0720582,0.00519238418724,0.00240686397604,0.000742335,0.055172035,0.0030439534460412,5.51061252225e-07,0.000223237,2.6820000000000257e-06,7.19312400000014e-12,4.983475816900001e-08,-8.182380000000001e-05,-0.000159135,2.5323948225e-08,6.695134246440001e-09,0.0,0.0,0.0,0.0,-0.6914990278419028,-0.2576072869811428,1
