,Q01,Q01_derivative,Q02,Q02_derivative,Q03,Q03_derivative,Q04,Q04_derivative,Q05,Q05_derivative,Q06,Q06_derivative,Q07,Q07_derivative,Q08,Q08_derivative,Q09,Q09_derivative,Q10,Q10_derivative,Q11,Q11_derivative,Q12,Q12_derivative,Q13,Q13_derivative,Q14,Q14_derivative,Q15,Q15_derivative,Q16,Q16_derivative,Q17,Q17_derivative,Q18,Q18_derivative,Q19,Q19_derivative,Q20,Q20_derivative,Q21,Q21_derivative,Q22,Q22_derivative,Q23,Q23_derivative,Q24,Q24_derivative,Q25,Q25_derivative,Q26,Q26_derivative,Q27,Q27_derivative,Q28,Q28_derivative,Q29,Q29_derivative,Q30,Q30_derivative,Q31,Q31_derivative,Q32,Q32_derivative,Q33,Q33_derivative,Q34,Q34_derivative,Q35,Q35_derivative,Q36,Q36_derivative,Q37,Q37_derivative,Q40,Q40_derivative,num_possible_responses,num_possible_responses_derivative,num_characters,num_characters_derivative,cosine00,cosine01,cosine02,cosine03,cosine04,trans_x,trans_x_derivative1,trans_x_derivative1_power2,trans_x_power2,trans_y,trans_y_derivative1,trans_y_derivative1_power2,trans_y_power2,trans_z,trans_z_derivative1,trans_z_power2,trans_z_derivative1_power2,rot_x,rot_x_derivative1,rot_x_derivative1_power2,rot_x_power2,rot_y,rot_y_derivative1,rot_y_power2,rot_y_derivative1_power2,rot_z,rot_z_derivative1,rot_z_derivative1_power2,rot_z_power2,response_time,response_time_derivative,constant
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576388455999999,0.0576382569,0.0576372758,0.0576359023,0.0576341365,-0.000237673,0.0,0.0,5.6488454929e-08,0.000979994,0.0,0.0,9.603882400359998e-07,0.0329386999999999,0.0,0.0010849579576899,0.0,0.00130026,0.0,0.0,1.6906760675999997e-06,0.0007949969999999,0.0,6.320202300089997e-07,0.0,0.00016709,0.0,0.0,2.79190681e-08,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576372758,0.0576319782,0.057623149,0.057610789,0.0575948989,-0.000373996,-0.000136323,1.8583960329e-08,1.39873008016e-07,0.0008324829999999,-0.000147511,2.1759495121000005e-08,6.930279452889996e-07,0.0334152,0.0004765,0.00111657559104,2.270522500000045e-07,0.00101898,-0.0002812799999999,7.911843839999992e-08,1.0383202404e-06,0.000704623,-9.037399999999971e-05,4.964935721290001e-07,8.167459875999949e-09,0.0,-0.00016709,2.79190681e-08,0.0,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50448724156929e-05,0.0004993941936414183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1891827155884826e-05,0.00018728388436953163,0.0003763235604394407,0.002209638090835611,0.0576341365,0.0576194213,0.0575948989,0.0575605733,0.0575164504999999,-0.00901782,-0.008643824,7.471569334297599e-05,8.132107755239997e-05,-0.0157957,-0.0166281829999999,0.0002764964698814,0.00024950413849,0.0335797,0.0001644999999999,0.0011275962520899,2.7060249999999337e-08,0.0007707539999999,-0.000248226,6.161614707600009e-08,5.940617285159999e-07,0.00063398,-7.064300000000001e-05,4.019306404e-07,4.990433449000001e-09,0.0,0.0,0.0,0.0,5.346133292231467e-05,0.00031392589210197535,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003220402290299932,0.010134865765735156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012076508588624742,0.0038009935386438074,0.014250280134577185,0.04483991888878486,0.0576294275,0.0576005878,0.0575525323,0.0574852772,0.0573988447,-0.0141745,-0.00515668,2.65913486224e-05,0.00020091645025,-0.0108459,0.0049497999999999,2.450052003999999e-05,0.00011763354681,0.0283675,-0.0052121999999999,0.00080471505625,2.7167028839999967e-05,0.0008424749999999,7.172099999999985e-05,5.143901840999978e-09,7.097641256249995e-07,0.00037907,-0.00025491,1.4369406490000004e-07,6.49791081e-08,0.0,0.0,0.0,0.0,0.002024425389739784,0.006370811011273824,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021221748474660934,0.04201163573577459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007958155677997854,0.015757123705615838,0.09390623700037458,0.18585626822689263,0.057623149,0.0575754796,0.0574960598,0.0573849333,0.0572421615,-0.0144323,-0.0002577999999999,6.64608399999995e-08,0.0002082912832899,0.000893666,0.011739566,0.0001378174098683,7.986389195560002e-07,0.0331365999999999,0.0047690999999999,0.0010980342595599,2.2744314809999952e-05,0.0011671,0.000324625,1.0538139062500009e-07,1.3621224099999998e-06,0.000458569,7.949900000000002e-05,2.1028552776100006e-07,6.320091001000002e-09,0.000138367,0.000138367,1.9145426689e-08,1.9145426689e-08,0.013340521634883664,0.026408121479289597,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06911508856934165,0.09305711700724302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02591815821350311,0.034905408650828945,0.3058342669193365,0.41163047036488315,0.0576153013,0.0575440995,0.057425495,0.0572595855,0.0570465076,-0.0097693,0.004663,2.1743568999999988e-05,9.543922249e-05,0.000910861,1.7194999999999906e-05,2.9566802499999676e-10,8.29667761321e-07,0.0268575999999999,-0.006279,0.0007213306777599,3.9425841e-05,0.0011671,0.0,0.0,1.3621224099999998e-06,0.00038886,-6.970900000000005e-05,1.512120996e-07,4.859344681000007e-09,0.0,-0.000138367,1.9145426689e-08,0.0,0.04344747255190218,0.05849333049525336,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15399659734230375,0.14701759883054125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05774872400336391,0.05515162983991908,0.6814349432396937,0.6502247345051997,0.0576058845,0.0575064509,0.0573408553,0.0571092883,0.0568120162,-0.0177875999999999,-0.0080182999999999,6.429313488999997e-05,0.0003163987137599,-0.0165095,-0.017420361,0.0003034689773703,0.00027256359025,0.0186592,-0.0081983999999999,0.00034816574464,6.721376255999991e-05,0.000801795,-0.0003653049999999,1.3344774302499993e-07,6.42875222025e-07,0.000382566,-6.294000000000005e-06,1.46356744356e-07,3.961443600000007e-11,0.0,0.0,0.0,0.0,0.09680611100430521,0.09240846661395498,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713586747222343,0.1879200638080767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10175950302083786,0.07050531944697325,1.200762135645886,0.8309680635856499,0.0575948989,0.0574625379,0.0572421615,0.0569341072,0.056538847,-0.0139306,0.0038569999999999,1.4876448999999967e-05,0.00019406161636,-0.0159945,0.000515,2.652250000000016e-07,0.00025582403025,0.0101136,-0.0085456,0.0001022849049599,7.302727936000001e-05,0.000578642,-0.000223153,4.9797261409000016e-08,3.34826564164e-07,0.000246025,-0.000136541,6.052830062499999e-08,1.8643444681e-08,0.0,0.0,0.0,0.0,0.17058284689726366,0.11811279828133765,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087011303771401,0.20767477081518246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15326292389142754,0.07793119865526997,1.8085025019188434,0.9180899888898897,0.0575823448,0.0574123653,0.0571294376999999,0.0567341187,0.0562271859,-0.0103169,0.0036137,1.3058827690000005e-05,0.0001064384256099,0.000600457,0.0165949569999999,0.0002753925978318,3.60548608849e-07,-0.00308453,-0.01319813,9.5143253209e-06,0.0001741906354969,0.000198534,-0.000380108,1.44482091664e-07,3.9415749156000007e-08,0.000340084,9.405900000000004e-05,1.15657127056e-07,8.847095481000003e-09,0.000141239,0.000141239,1.9948455121000004e-08,1.9948455121000004e-08,0.25691974808332835,0.13052176197005982,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513026767942893,0.2063465447579536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20673850379785844,0.07745166201236348,2.439514344814728,0.9119087291646027,0.0575682224,0.0573559384999999,0.0570027116,0.0565094097,0.0558772451,-0.0113497,-0.0010328,1.0666758400000008e-06,0.00012881569009,0.00374138,0.003140923,9.865397291929e-06,1.39979243044e-05,-0.00379178,-0.00070725,1.4377595568399996e-05,5.002025625e-07,0.000538949,0.000340415,1.1588237222500005e-07,2.904660246010001e-07,0.000296759,-4.332499999999998e-05,8.8065904081e-08,1.8770556249999983e-09,0.000147696,6.456999999999996e-06,4.1692848999999945e-11,2.1814108416e-08,0.3465626451998083,0.12967710925389345,1
